,userName,date,rating,review,title,isEdited,Company_name
10,ShariJung,2020-02-29 22:51:09,1,"Ordered in the app and they won’t let me pick a time less than 30 minutes away. Get there and they don’t have our order. Then they tell us they don’t get it till 10 minutes before pick up. I ask if I can cancel and she tells me know and because I am on a different time zone it will be an hour longer. She acted like the app was the worst way to order but we were on the go and didn’t know how busy they were...they were dead so not sure why they couldn’t fill the order in a timely manner. And yes, you can cancel if they haven’t accepted or processed. App also can’t handle time zones at all. This isn’t the first time this has happened just the most fustrating since we live on the time zone line and they can’t process an order at all. App would be wonderful if the employees actually understood it.",They need at least 30 minutes but don’t get the order until the last 10 minutes,False,Panda Express
11,Val Petito,2020-04-22 00:02:34,1,"I often order from this store and every time I come to this place I am always disgusted at the level of service that they DO NOT give you here. Every time I go in they do not greet you, smile, or even look at you. Even the manager was there and doesn’t greet or acknowledge me, and he even looked right at me , and NOTHING! Many times I try to give them the benefit of the doubt and I will smile and say hello, say please and thank you and I do not get any reply back. Also they don’t seem to get my order right. By the time I get home they always seem to have something wrong with one or all of the order  If it wasn’t for the convenience I would never come back and believe me I spend a lot of money into this establishment. But if they don’t get it together I will inconvenience myself and go further to get the food .",Horrible customer service with all staffs,False,Panda Express
12,Wilsteadt,2020-03-30 20:12:01,2,"The app visually looks good and well put together. That’s it’s only plus. It’s hard to add a payment method, it insisted the card number for most of my cards is not right despite my own triple checking. I found a single card that works and proceeded to order. Only six entree options were listed, if the rest were there they were not easy to find- I searched for a while. If they were the only ones listed because they were out of the others I’m annoyed because I would’ve chosen to wait and order something else when it was ready. After ordering we had to wait fifteen minutes for the order to even be processed BEFORE they’d make it for us. Panda Express is one of my favorite resteraunts but this app is definitely deterring me from coming back.",Incredibly frustrating,False,Panda Express
13,cynthiafraga,2019-11-02 20:29:24,1,I mean overall it’s a okay app right but you place your order and it takes forever for it to arrive. I went into the restaurant just 10 mins before it was due and the restaurant staff didn’t care if I showed mobile receipt or order number “as long as it hasn’t appeared on my end I can’t do anything about it “ and i had to wait for my order to appear  on their screen . While the staff was really frustrated that I couldn’t just wait 15 mins when I simply just wanted my food . I didn’t argue back . I waited and the order came in and they’re like NOW it’s your turn . When I had ppl come in much after I did and received their order first .unlike the Chick-Fil- A  app that has the option to tell them “I’m here “ so they can start working on it . The earliest you can get it is like 30-50 mins after you order . Just skip the app and wait in line .,Skip this app/ just wait in line,False,Panda Express
14,The real Wolfman,2020-05-20 22:27:45,3,"The app is fairly well thought out, but several times it’s given me an error when I try to submit my order. No rhyme or reason. This creates a problem when, say, the only way to take advantage of a special is to order online.

Also, what makes the app insufficient is mainly what’s missing. One is the option to pay cash at the restaurant. Also, while there’s an “I’m running late” button, there’s no “They’re running late” button. In fact, there’s no apparent resolution mechanism for when you’re waiting there, say, 10+ minutes past your pickup time, which seems to happen a lot at my local Panda.
So, they’re happy to take your money but not so anxious to resolve any hiccups.",Fair but buggy,False,Panda Express
15,Vernon of Newman CA,2019-10-10 21:40:11,4,"I recently moved from the Bay Area to Modesto - and eventual bought a home in Newman. I love my new home and Newman - but by the 2nd week of living in Newman - I realized that there were NO restaurants here in the West Valley that serve any Asiatic Cuisine! I panicked and went through Sushi and Kimchee withdrawals for 6 weeks / until I stumbled upon this Asiatic Oasis in this Burger-centric Desert that I now call home.

I historically order Pickup via the App - and in each and every ordering episode - they get it RIGHT - they have READY ON-TIME - and the quality is ALWAYS consistent - and best of all you get your monies worth!!! 

So thank you again Panda Express Patterson - your effort’s in delivering healthy and delicious food - that is both pleasing to the eyes and the palette.",An Oasis in the West Valley,False,Panda Express
16,OneMoreUnhappyCustomet,2019-09-08 22:36:43,1,"At the Lima rd restaurant in Fort Wayne Indiana as I write this review. My confirmed order was supposed to be ready for a 6:10 pm pickup. I arrived at 6:11. Took 6 minutes for anyone to acknowledge me even though I was the only one in the Online Ordering pickup line. When I finally got waited on, my online order wasn’t found. I was told it wasn’t their fault and I needed to produce a receipt. After retrieving my phone from my car, I returned to the Online Ordering line. Again, waited over five minutes without any staff (including the cashier) acknowledging my presence. I finally asked the cashier if she could check on my order. She fetched another employee. I showed him my phone order and he did fill the order. Ended up waiting a total of 25 minutes after my scheduled pick up time for my order to be ready. No apologies.
Really bad customer service.",Waiting. Waiting. Waiting.,False,Panda Express
17,ChristyMaelynn,2019-02-13 01:15:26,1,"I was buying food for my office team, but when I realized it would take an hour to get ready I decided not to order and cancel. I never hit confirm. A few hours later I get notified I have a pending charge on my card of $170 (what I was buying was less then 50). I called the local restaurant that I ordered the food from and the manager couldn’t find a transaction or where this was coming from. I then called corporate where they could not explain to me where or why I got this charge. He almost acted like it was very normal. Even after I confirmed and double check to make sure I’d never actually finalized the order. Needles to say I am astonished that such a well known large establishment could 1.) “accidentally” take this much money from my account without me ever actually placing the order 2.) acting like it wasn’t a big deal.",They tried to scam me!,False,Panda Express
18,Dark its,2022-01-10 05:57:34,1,"The costumer service and the app themselves I would rate at least a 4. But the system they set up is weird. Twice now I put for a pick up “ASAP”. I wait in my car for ten minutes then go in to see if my food is ready. But apparently the app tells the workers that the order is made for 15 mins later then when I walk in. I’m guessing 30 mins from when I made the order. That wouldn’t really be a problem if they could just make my food then since no one is there. But they can’t because the app hasn’t released the order. So they don’t know what I order and can’t confirm I paid. Ok. So let me cancel so I can order normally… nope. Cant do that either. So, I’m standing there looking at the workers do other things. Not making my food or anything. Just, wow.","Love Panda Express, but the system…",False,Panda Express
19,kross333,2019-08-10 05:22:08,1,"Just ate my food. Yuk and yuk. First off, I mobile ordered and for the second time out of two times I’ve done this, my order was not ready. Not only was it not ready, the ticket was still in the machine. There was one other customer in the place so I don’t know what the issue was. I honestly could have walked in and ordered and payed faster than it took her to figure out the ticket. She seemed frazzled that I was two minutes early and reminded me that my order said it wouldn’t be ready until 9:25. It was 9:23. Anyway got home and ate my food. Gross!  Mind you I have kids so we’ve gotten this good many times before but I’m pretty sure they cooked the food so much that the actual chicken disintegrated. It was primarily fried coating. Did I say gross??  This may be my last trip. It’s unhealthy anyway. That being said, the veggies were pretty  good.",What the...?,False,Panda Express
20,Booken,2019-05-14 21:39:53,5,"I can’t say how much I love our Panda Express. The employees are always pleasant and kind. My only negative is not for our store but for the corporate office. Please expand our Panda Express they deserve more. Get them a Flag Store, same area but a flag store. This property generates a lot of business for you so you can do this. Also do not change the management there she’s ( sorry I don’t know her name at this time, just can’t think of it, apologies) always on top of everything in that store. So happy to have that store there please don’t lose the quality. Thank you for listening to my rant.",I Love Our Panda Express,False,Panda Express
21,Idliketopostbutallnamesrtaken,2019-02-18 21:01:45,4,"I like using the app to order, it makes things fast & convenient. However, it’s frustrating that all drink options are not listed in the app. It’s nice that they prepare the drinks for you, except when I want an option that’s not offered on the app (passion tea), then I’m forced to now drink something different (or pull a jerk move & dump and refill right there in front of the workers). I understand if you can’t give all the options, like if some stores are different than others or whatever, but you should have an option of just ‘fountain drink’ & let people fill it themselves.","Convenient, but drink options limited",False,Panda Express
22,Defl8 cheaters too,2020-06-09 14:55:33,3,"The new app may be “easier” to use, but NOTHING is saved from the previous versions profile.  Even logging in with my account, of which I’ve ordered many times, nothing is saved.  It says I have no “previous orders.”  Every time I’ve ordered in the past, there are 7 of us, and their orders are unique and specific.  Instead of simply being able to click “reorder” and be done, I have to go through the entire process again.  While I appreciate the fresh look and friendly UI, it’s useless to me if my profile can’t migrate over with the new app!!  Sigh.",Profile is lost,False,Panda Express
23,ohmygodletmepickanickname,2020-04-23 19:15:45,1,"Ordered pick-up and when my order was ready, I stood at the pick-up door for almost 10 minutes while the employees inside looked at me and ignored me. One employee even went outside to tend to a drive-thru customer. She simply walked past me twice without even greeting me or telling me that I would be attended shortly or EVEN LOOKED AT ME. I was ignored and got stupid looks from the employees. If they noticed me, why didn’t anyone approach me? If you’re going to hire anyone that unprofessional, make sure they at least have the potential and capacity to learn how to deliver GREAT customer service if it’s not going to be excellent. I don’t recommend this app as it has a delayed response and makes ordering take longer and delivery difficult for the employees.",Poor customer service,False,Panda Express
24,nomorepsnda,2020-05-14 23:16:46,1,"On Mother’s Day, wanted to order the $20 family special. The web says online is not available at the Swan/Grant location, web says it was open till 8:30, got there at 6:30,  saw a note on the door, closed at 5:30, ok. 
Drove to the Campbell/Glenn location, again the web says online order not available at the location. Walked into the store and asked  for the $20 family special, the store manager said he can’t give it to me because the $20 special has to be ordered online, but I said your web says online order us not available at this location, I even showed him my phone, how can I order that. He refused to talk to me any more. I said I’d file a complaint with the home office, rest is history. The staff was very rude.",Bad attitude,False,Panda Express
25,TexPeach,2020-06-04 14:25:01,1,Used the app to save time instead of going through the drive thru. Used the app & stated order was ready. Went to pick up & waited for 10 minutes. Called no answer. Called again no answer. Finally went inside to learn they had no record of my order. No problem said they would remake. 30 minutes later still no food. 2 kids on the back seat waiting for food. Finally staff member comes out to check on us because we had been parked for a while. She discovered the restaurant had no record of our order! So she used my confirmation email to make our dinner fresh. We waited for an hour & a half for our food. Still charged us after that. Love Panda bit will skip the app & use drive thru.,Terrible app,False,Panda Express
26,UnsatisfiedCustomer1339,2021-06-18 18:17:24,1,"This app is useless; let me tell you why. I ordered lunch for pickup at a specific time. The app knows what dishes the store typically serves, but it doesn’t know if they will have it available. So I show up to pickup my food right on time, and it’s not ready because they don’t have the dish I ordered prepared yet. Every other dish is there sitting in their heating trays except for the one I ordered. So I have to sit there for 20 minutes waiting for it to be finished when in any other circumstance I would have just gotten something else. Not to mention that they prepared the rest of my order and let it sit in the box getting cold while I waited for my other dish. Don’t waste your time like I did, avoid the app.",Don’t bother with the app,False,Panda Express
27,SwimLizzy,2021-06-24 23:13:36,1,"Panda used to be a favorite of mine. Then hit the closures and absurd policies, but I thought, I can order through the app and pick up and avoid having to deal with employees. The payment portion of the app is terrible. It ate the remainder of a gift card once. Every time I try to pay and enter my CC info a big banner is across the screen for Apple Pay. I don’t use Apple Pay. When I try to fill in the next field it takes me back to the order and looses the CC info so I have to fill it in again. And when I do get an order to go through and pick it up the portion sizes have been dramatically reduced. I rarely eat from Panda anymore. It hasn’t been a customer friendly experience for a long time now.",App is terrible,False,Panda Express
28,BobboDaMan,2020-11-24 02:31:08,2,"There’s no way to order sauces. When I order Panda I want sauces on the side, teriyaki, sweet & sour, etc. Now you can enter special instructions and it almost works, but be aware that the printer cuts off more than a couple words, so if you say you want teriyaki and sweet and sour sauce, you get “teriyaki and sw”. This happened last night and being pandemic and getting food to go, we didn’t see this until we got home and frankly, I’m not going back to get sauce. The food is not as good without the sauce. 2nd, if you look at appetizers and it pops up veggie rolls, you can’t get back out. It just keeps popping up veggie rolls. Poor QC here, Dev. Anyway, add a spot to order sauces!","Not Bad, But Some Issues Need Work!",False,Panda Express
29,No was to win my business,2020-04-18 01:00:16,1,I ordered online. The site gave them 45 min to prepare my order. So I took my time getting there. Upon arrival I was told it wasn’t ready and they’d bring it out. I watched cars pull through the drive through and leave and still no food. After 1 hour from the time my order was placed I went back in to check and was ignored until i asked them where my order was. They acted as if I was from another planet. 1/2 my food was already boxed up the rest they just had not done it yet. I assume they were filling the drive through orders first.  This is NOT ACCEPTABLE!  I am patient and understand things are not normal. But this will not bring me back as a customer and I will give your some free bad advertising.,Very disappointed,False,Panda Express
30,synapchap,2020-03-11 19:12:15,3,"The app charges your card instantly but I was told by the store manager that the order is delayed 15 minutes before it gets to the store. I was 10 minutes early and had to wait for my order to be transmitted and then filled.

The site was out of several main course choices and I had to wait for mine to be prepared which totally defeats the purpose of pre-ordering and being charged for having to wait.

This was a complete disappointment. The only saving grace was that the staff were kind.  Lousy online ordering system.  I may consider recourse as I was charged and my order was delayed.",Too quick to charge but not prepare.,False,Panda Express
31,angELA*85,2020-05-13 01:00:16,2,"The people at the drive through were far less than helpful to obvious new customers. I got in line three times because they neglected to inform me that the family meal was only $20 on line. Then they tell me it’s going to be 20 minutes just to process my order and another half hour to make the same exact meal that my boyfriend ordered at the window... with no Thee customers...

I went to the window 15 minutes early in hopes that my order would be ready. It was so ready that I wonder how long it had been sitting under those hot lights.... I haven’t even tasted the food yet but I’m so disgusted by this fast food drive through drama. 

I couldn’t even check in my order without signing up for their dumb club or whatever. Then I still couldn’t check my order because I had to download their app too! 

I don’t care how good this food is, that bunch of bull crap has left me without an appetite and longing for a stiff adult beverage. 

Thanks a lot for the Panda Jamma✌🏻",Pushed around so much for mediocre wanna be PF Chang,False,Panda Express
32,Puma956,2021-02-19 21:42:46,3,"Got a new phone and decided to update my apps and payment information. The only way to add a different card or edit existing one that is close to expiring is to order something. Sometimes it takes a while to update payment info so I wanted to do it before placing an order under limited time, like my lunch break. I hope they can fix this. 
Also, app is useless if online ordering is unavailable at your closest Panda or if crew is understaffed or inexperienced; you’ll be there for a while and eventually leave with an incorrect / incomplete order.",Update,False,Panda Express
33,MEMEMEMEMEME36,2020-04-29 02:01:54,1,"I made a large order for my family because it was a special occasion and we didn’t want to waste our time together going to the store. I went through the whole process and was told my order went through and to click for tracking information. I just took note of the time it would be arriving and went about my evening. The arrival time passed and I checked, no tracking information but the order is in progress. I waited another half hour because I understand that sometimes delivery takes extra time. Then I was told my order never processed and the store is closing so I can no longer order the food. Had to feed my guest leftovers, hate this app.",What happened?,False,Panda Express
34,xXRockAweaRXx,2021-11-24 23:23:57,1,"Their app urges users to order delivery so I tried it.  I ended up receiving half of an order via Doordash.  Cool, so I must be able to find a way for the driver to deliver the other half?  No.  Calling the store and letting them know about the situation and they said they are not able to contact the driver, neither is the user of the app.  So the store or Doordash aren’t able to make things right.  Also, good luck on getting a refund.  It has been 10 days (11/14 order was placed) and after receiving an email on 11/24 from “Panda Guest Care”, they said I may receive the refund in another 10 days.  Do yourself a favor and just uninstall this app and order elsewhere from another company or restaurant.",Do NOT Order Delivery,False,Panda Express
35,Rodale,2021-06-16 15:12:47,1,"DO NOT SAVE YOUR CARD INFO!!!! Someone from another state got into my Panda account and made a huge order. Turns out others had this problem while using the app few years prior too. Some how these hackers get into your account and make an order, change your phone number, pick up the order and change back the numbers saved onto the account. Emailed Panda customer service and all they said was to take it up with your credit card company (in a nice way at least)

This transaction on my card will look non fraudulent and they will hold me accountable….. Panda should have taken the responsibility and just refunded the amount when I 1st reached out to them.",Account got hacked and I got scammed,False,Panda Express
36,Player Maniax,2021-01-02 05:14:47,1,"So I placed a delivery order on the 23, never got my order. I waited at least 1 hour since it just started snowing on that day and thought that it would take them a while to delivery my food. 1 hour passes and I still don’t have my food, I gave them a call twice and they didn’t answer. After that, I went online to see how to get customer support, and sent them a message, saying that I didn’t want the food anymore and would like a refund instead. After waiting for one week, I never got a reply back nor did I get a refund. So here I am giving them a bad review. If you ever order, just place an order for pickup so you don’t end up like me, no food and no refund",My experience,False,Panda Express
37,Prof Silly,2020-04-30 01:12:16,1,"I attempted to place an order using the app. It doesn’t support Apple Pay, nor is it able to access your stored credit cards on iOS. You need to manually enter in all your information despite Apple supporting multiple ways of making this easy. Then I attempted place the order. It kept telling to to pick a time for pickup, then it would say that time is not available. When I finally got a pickup time accepted and attempted to process the order, I got another “unknown error” and it dumped my payment information and asked me to re-input it again. I like panda but the app is not usable. I had to order in person, which is not good during a pandemic. Great place, bad app.",Poorly written and un-usable,False,Panda Express
38,Niloiviol,2020-05-15 23:37:41,1,"Do not use the app! We did thinking we were scheduling our meal to be ready on time, it was about 4:55 when we placed the order, I was to pick it up at 5:30 and 5:30 on the dot I was there, just to be told my meal was BARELY BEING PREPARED, also I went to pick it up at the door... BIG MISTAKE the staff will prioritize the drive thru and will have you hanging there for as long as your ""meal is ready"".  I went to the door because the drive thru line was very long, well, that line almost disappeared entirely twice before I got my meal... I don't know what the problem was, but if you go to panda go to the DRIVE THRU ALWAYS, they prioritize it over everything else, app and door pick up.",Terrible App Service in Jackson St Mcallen TX,False,Panda Express
39,Suckyservixe,2020-04-19 00:11:06,1,We ordered online and waited 22 minutes. It wasn’t ready when we got there and had to wait about 5 more minutes. Then when we got our order to the car we ordered Extra extra extra teriyaki sauce and we had NONE. I went to the sort and I understand about not allowing people in the lobby but the manager- yes I said the manager screamed at me from behind the counter and said “Go to the drive thru” I ordered online to keep from waiting. I do not expect to be treated like I am a three year old doing something wrong. I will NOT visit Panda Express (UN-express) in the future and I will just say “Beware” and stay away from the Panda Express in Surfside Beach. The manager is very very rude!,Nothing Express about this Panda,False,Panda Express
40,Lexiwiz,2021-04-18 00:55:32,5,"Downloaded the app this evening and set up an account in less than a minute. Was able to place an order for 8 people for pick up in less
then 3 minutes using the app. The easiest food ordering app I have ever used. When I got there at the directed time for pick up, the food was just being brought out. Couldn’t have asked for a better first experience!",Easy to use,False,Panda Express
41,DucmanDon,2021-06-06 18:12:50,2,"What’s the point of having an app when all the locations near you decide they aren’t going to take online orders anymore? Every time I’ve tried to order in the last 3-4 months from with the St. Lucie West or Tradition locations (FL), the app says that they aren’t taking online orders right now. Why? They both did before. I have not ordered from Panda Express in months simply because I can’t order ahead. The app itself is ok I guess. But the current lack of being able to order from my nearby locations has completely turned me off of both the app, and Panda Express in general.",What’s the point of having an app…,False,Panda Express
42,🦋🌻☀️,2020-03-07 03:25:23,1,I placed an order through the app and it told me it would be ready in 35 minutes. I could’ve gotten it sooner had I walked in and thought the purpose of online ordering was to speed up the process so I called the store to see if it would really take 35 minutes and they explained after updating the app they no longer get the order right away and they wouldn’t get the order for 30 minutes and then they make it in 5. That was a little annoying but the employee was very professional and kind and offered to write my order down and get it ready instead of making me wait 30 minutes for her to just receive it through their system.,The order doesn’t go straight to the store,False,Panda Express
43,Lreposa,2019-08-17 04:07:25,1,"Just went to the Panda Express in Santa Clara.  I ordered 20 mins ahead of time and arrived on time to pick up my order.  I waited 10 mins for someone to acknowledge me and then I had to ask for my order.  The server then made the order and basically through it together and tossed the box a few times putting it in the bag.  There were no utensils and the server was upset at me because they were unable to provide service on time and at least with some ounce of courtesy.  When I got home all of what I had ordered was completely mixed up from the way the server threw it in and then juggled it.

So my question is why have an app that allows you to order ahead of it doesn’t work and then your employees are upset like it’s an inconvenience to fill the order? 

This is not the first time as 3 of the last 4 times I have ordered I had to ask for it and it was not ready on time.  I even had to go to great lengths to prove my order once.  

I would think a company of your scale could do with some employee training on the app and customer service.",What’s the point of the app?,False,Panda Express
44,RHRTOX,2020-07-07 20:56:48,1,"Once Panda Express opened in Midland, MI I downloaded this app so I could order take out. Functionality of this app is terrible. Even after setting up an account and entering credit cards, I could hardly get the app to take an order (and I have considerable experience ordering take out on my phone in these pandemic times).

Then Panda Express “updated” the app and forced me to reconfigure it again (forgot about my previous account). After I did that, the app didn’t work at all. I was forced to call the restaurant and they had no record of my order. 

Save your time. Get in the drive up line and yell your order out the window. Developers of this app should be fired!",App doesn’t work,False,Panda Express
45,kim cardenas,2020-03-20 18:40:48,1,This app is trash. This app constantly freezes and makes you re type your order a few times then will not let you place it. Then finally after you get the order to the pay screen it won’t let you sad your payment through because the time isn’t correct time. When you put asap they select a time for you and still not let you send the order through. I’ve tried to log in through the account i created with the email i regularly use and it won’t let you. I even trip through Facebook and of course it won’t let you sign and placing the order through the guest is complete trash. I hate this app. This is one of the worse apps when trying to check out.,Trash,False,Panda Express
46,柠檬鲸,2020-11-02 19:38:00,1,"Never use an app like trash like this. No way to log in your account, no way to track your order!

Today I logged in to want to make a deliver order. When I checked out, It turned out want me log in again. And I logged in again as requested, then it turned out need to log in again when check out. That mean, you can never log in your account. I am curious why the app was designed so trash and make it so hard to put an order. So I tried the panda website and find out the website had the same trash system. So if you want to order panda online, deal with the stupid app and have no idea where your food is after you paid money.",Trash app,False,Panda Express
47,bathuey,2020-03-28 02:10:44,1,"I put the app on my phone, and ordering was easy. HOWEVER, when we got to the store to pick it up, they couldn’t find it! I had the order number, the order and amount I paid for it- but they had no record of our large order!! We made sure it was the right store and was for pick up— but the store had nothing!! So they took our phone and had to put it all together!!! What is the point of “skipping the lines” if you still have to wait in line and wait for the order?!? I went back to my app and clicked on “track order” and it couldn’t find anything!! Yet- it shows up in my order history?!?! VERY annoying!!",What the point of the app??,False,Panda Express
48,Jem PDX,2020-07-29 01:57:00,2,"I’ve tried ordering online twice now and both times I’ve waited 15+ minutes at the store AFTER the time it was supposed to be ready for my food (the 2nd time prompting this review it took an additional 25 minutes and having to ask twice for an update). 
The app has pictures of every item and makes placing the order easy but sending orders to the store appears to lag heavily. When placing the order, it tells you how long it should take to prepare, expect that to be incorrect! I try to be a patient person but this needs improvement.",Online ordering is a waste of time,False,Panda Express
