,title,review,rating,userName,date,isEdited,developerResponse,Company_name
23,Beware of Mobile Order,"Wow, I order via mobile for so many restaurants but will never do so again with this app.  Placed a mobile
Order for inside pickup.  When I arrived, parked in the designated spot and d I was there.  The app told me to go to the counter and pick up the order.  Unfortunately the restaurant had a sign on the door that they were drive thru only.  I called the restaurant and they told me to get in the very long double drive thru line.  I did not have time to do that which is why I ordered for mobile pickup.  Since I had paid already, I asked the order be cancelled and I tried to call customer service.  After waiting on hold for almost 20 minutes I emailed them and have yet to hear back. I completely understand staffing issues, but the app should be as smart as all of the others out there and not allow me to place the order for pick up inside. Wendy’s, I expect better from you.  Do not recommend this app!",2,ElectronicNewbie,2021-11-03 16:43:57,False,,Wendys
24,Probably the worst “fast” food app!,"If you are willing to spend quite a bit of time fighting an app to order and pay for your food, then this should meet your needs; otherwise, it’s a painful experience.  I gave it 2 stars because you can get an order to go through if you persevere!  The fact that it requires you to load funds into your account in order to pay means you have “dead funds” sitting there and cannot access them without adding funds.  The app doesn’t accept Apple Pay, and, when you FINALLY get an order submitted, your reward at the restaurant is generally a disappointment of a super thin sliced lousy tomato (was it really there?!), a partial ring or two of thin sliced onion, a partial lettuce leaf to go with a reheated burger patty and reheated fries!  I have fond memories of Wendy’s, and, once in a while, nostalgia and hunger overtake my better judgment.  I hope it’s a long time until I make the mistake of going to Wendy’s again! 😩",2,Highpti,2021-03-07 19:20:16,False,,Wendys
25,Worthless,"I have no idea if the app is good or not because apparently there isn’t a password that’s good enough for me to use to order fast food. I tried so many crazy passwords and each time fulfilled all of the listed requirements, double and triple checked to make sure I had everything required and each time was told what I chose wouldn’t work. So that’s why this app is “worthless” to me because I literally cannot use it. I’ve tried contacting them, no response, I tried deleting the app and downloading it again, and nothing has worked so far. Several of the closest Wendy’s to me are only taking mobile orders because of staffing issues so this app being completely useless has kept me from eating at Wendy’s for months. It’s frustrating and the only reason I’m writing this review is in hopes that maybe, just maybe someone with the company will read it and contact me or resolve the issue, but seeing as how I’ve e-mailed them several times with no response I highly doubt it.",1,Adamtheadult,2021-11-21 22:40:30,False,,Wendys
26,App now unexpectedly quits,"The app unexpectedly quits! Yep, after the last update, the app starts up, then flashes the Wendy’s ads (it’s good at doing that tho) then quits back to the main iPhone home screen. I’ve got tons of free available memory and space and no other apps running at the time. The only workaround I’ve found was to shut down and reboot the phone, then wait,…a while…, and try again to navigate back to the spot I was just in. Hyper annoying when the app unexpectedly quits and you’re suddenly cold caught on the spot having to shut down and reboot your phone while drivers behind you start laying on their horn while you’re struggling with the app at the Drive-Thru Speaker is Definitely cringe tier! When you guys put out your next update please fix this. Having the app give up on you when you need it the most makes it cringe worthy and lame.",3,Elchino04,2021-05-26 02:32:17,False,,Wendys
27,At least you can pay through it,"Customizing items is incredibly difficult, and there is no option to customize drinks (do you want no ice? Too bad.). There are coupons available solely through the mobile app, but those aren’t the same coupons that are available in the mailers, so don’t get too attached to the physical coupon you have. They don’t start processing the order until you get to the drive through window, so if you have a slow location, you won’t save any time. But the one benefit: you can pay wirelessly, so you don’t have to hand over your card.
EDIT: Docking a star because ever since viewing the breakfast menu one time, I can no longer see anything BUT the breakfast menu, at any time of day. My favorites are thankfully still there, but that’s all I can add from the lunch menu. Perhaps reinstalling will fix it, but I honestly don’t think the app is worth it, especially when it’s deals are so much worse than the mailer ones.",1,ThinePwnage,2020-10-30 18:04:40,False,,Wendys
28,Please add Apple Pay Support,"Anecdotally, while I used to run into bugs semi-frequently, it now feels more stable than previous versions. The app itself is decent, but could use some improvements:

1) Lacks Apple Pay support
Not only is this a huge inconvenience factor, but for me, the biggest appeal of Apple Pay is security. With Apple Pay, I don’t have to give out my credit card number to 3rd parties and worry that they’ll get hacked. Also, the Apple Pay double cash back for Apple Card users does influence where I order more frequently. 

2) UX for Offers 
When applying an offer, it would be more convenient if the app automatically combined the process of adding the offer together with the process for ordering items related to the offer. For example, if the offer is “$1 off large fries”, adding the offer should be combined with the step of adding the large fries to the order (and also the opportunity to customize). The mobile ordering experience has to be as streamlined as possible, or else you risk having it feel like an inconvenience, when you are actually trying to make it more convenient. 

3) Sign In with Apple
Not as important as Apple Pay, but definitely another major convenience for Apple users. Saves me the hassle of having to create new accounts.",3,up_on_the_ladder,2020-06-29 17:56:58,False,,Wendys
29,Steals money,"I used to order through the app with no issues but the past 2 times I ordered the order got cancelled and it charged me!!!! The first time I ordered but it glitched out when I clicked check out so I ordered again and it did the same thing. I didn’t think much of it but then I checked my bank statement and I got charged TWICE without receiving food. I contacted customer service multiple times in multiple ways with NO response.  I ordered again today thinking it was just a glitch and it wouldn’t happen again, I was wrong. I ordered but then I realized I ordered at the wrong location so I simply edited my order and changed the location. This time I got my food and had no issues with that but then when I checked my bank statement I realized I got charged TWICE! Mind you these 2 times were about a month apart. You’d think they’d fix the problem but apparently they didn’t. Is this even legal?? Seriously they have the worst customer service ever.",1,aguzman103,2021-07-30 22:35:24,False,,Wendys
30,Good overall,"I generally like to use mobile ordering because it allows me to look at the menu with any pressure of the employee in the drive through window or other patrons waiting on me and I can confirm the accuracy of my order. Especially with the pandemic, it’s been great. This app paired with Wendy’s seeming to put more effort into the quality of their food in the past year has made Wendy’s one of our go-to places for takeout. Recently, I have been getting repeated emails telling me I never finished placing an order. This seems to occur the morning following my last mobile order. I open the app, and see nothing waiting to be submitted in my bag. This appears to be a glitch on Wendy’s end, and while not a huge deal, it is a minor annoyance.",4,Lord Aronsworth,2021-12-22 12:06:36,False,,Wendys
31,Useless,"I’m not the type to leave reviews but this app has been completely useless and a huge waste of my time. I first started by trying to simply order breakfast. I added my items and got the check out page where it got stuck in an endless loop of loading my pickup method and payment method, would not show my total and would not let me checkout. I completely reinstalled the app, tried wifi and cellular data, still nothing. I thought okay I’ll just try to use one of the discount offers at the restaurant. Can’t forget to mention the discount offers are hidden in the rewards store, as compared to other apps that feature them on the front page. I get to the restaurant and conveniently the app shows that there are suddenly no offers available even though there were plenty 10 minutes ago when I was looking from my house. Again, reinstalled, tried both wifi and data, still no offers showed up. USELESS!",1,Gdgufhh,2021-04-21 12:49:18,False,,Wendys
32,Lost My Account After Several Issues,"This app is probably one of the worst restaurant apps out there. I had it for about a year and it was manageable at first, but then the issues came rolling in. First is a complete disconnect between the app and the store locations. A few times I ordered “in store pickup” because the app said it was available, but when I arrived the doors were locked and angry employees yelled at me for a mistake the app made (customer service is so shoddy at Wendy’s but that’s a different topic). Then came the coupon offers. Sometimes I couldn’t redeem them but the times that I could, it wouldn’t apply at checkout. Frustrating when the app sends you notifications about these offers but doesn’t let you use them. The final nail in the coffin was when it logged me out and when I tried to log in again it said my account didn’t exist. Bottom line, don’t touch this app with a ten foot pole, there are better places to eat anyways.",1,CBKing24,2022-03-03 19:51:58,False,,Wendys
33,Horrible company,This is by worse app / company ever dealt with and it’s sad because there food is great the people in the restaurants are very rude especially during covid times... then when trying to send in a formal complaint the customer service constantly hangs up on you. Had to use the rewards and it does not state when using rewards you have to make a purchase well yea the employees tell you that you have to make a purchase because the rewards are like a coupon but it does not state it on the coupon and because they uploaded it into the system they said I’m not getting my rewards back this is upsetting as a company they are vary unprofessional especially the employees who work for the company countless times they are rude to so many people and no one can complain because once you call to complain they hang up on you. Extremely!!!!!! Disappointed!!!!!!!!! ESPECIALLY with the app as well don’t recommend it to no one save the trouble !,1,liv_2013,2021-02-17 16:16:18,False,,Wendys
34,Needs a LOT of work,"First - why can’t I store my payment method in the app like everyone else allows?  I mean, you can sorta store it, but it wants the CVV number everytime you place an order.  

Second - the app apparently isn’t in tune with what’s available at the store.  I placed an order for a burger and a side of chili.  The order went thru and my card was charged immediately.  I get to the window to be told they were out of chili.  I asked them how they were going to handle this, as I had already been charged.  They told me they would take it off the order and credit my card.  I had my doubts, but they must know, right?  Well, it’s been well over a week and of course, no credit.  I checked the app just to see if the credit was there.  No credit.  
 
App has potential, but needs some work.  Perhaps the developers should actually try it on their way home tonight.",2,HP9K,2021-11-10 20:51:14,False,,Wendys
35,Stole my money,"I’ve been using the app without issues. Grandkids love Wendy’s so it was nice to have it delivered to them during quarantine or preorder and have it brought to the car. 
I don’t like the idea of my debit card being saved on the app and , at the time, they didn’t have Apple Pay, so I had money loaded to Wendy’s app.  Everything was great. I had a ton of reward points that I could never redeem and a little less than $20 in the app for paying. 
On 2/15 I opened the app to place an order and EVERYTHING IS GONE! Idk if they updated the app or what but it was treating me like we’d just met. Forgotten was the 1-2 x’s weekly use. I felt like I had been pretty faithful over the last couple of years. I didn’t use any other ff apps. And how am I treated? Swipe left, you never existed. 
And yes. I feel as though this is a bad breakup. Wendy’s cs disconnects me. No response to text or emails. And took my money. How do I prove there was still a balance when they deleted my account? 
That’s a pretty poorly thought out update. Or is it? I’m pretty sure I’m not the only one so I guess they made out with the money they stole. 
Idc about the reward points since they were impossible to redeem anyway. But TAKING MY MONEY IS A WHOLE LOT DIFFERENT!
You won’t be seeing me in their drive through again that’s for sure. Even if they didn’t finally add Apple Pay.",1,ttloper,2022-02-27 20:16:55,False,,Wendys
36,Never Again,"On Friday I put an order for pick-up in on the app. First the reward did not work causing me to be charged full price for an item that was supposed to be $1. Second when I got to the Wendy’s #9078 to pick up my order they were closed. I went to the drive-thru window and was cursed at by the worker to get out of the drive-thru, the manager then came over and said there was nothing they could do about it and to contact the app for a refund. I attempted to chat with customer service on the app to no answer, called the phone number on the app to no answer, sent an email to no answer as of three days later. Luckily my credit card company was able to cancel the transaction due to the fraudulent service. I will never use the Wendy’s app again nor go to a Wendy’s restaurant again. If Dave Thomas knew about the lack of quality of service from what has become of his company he would be rolling over in his grave.",1,ccxxii222,2021-11-15 19:52:22,False,,Wendys
37,Was awesome until now; now unusable; literally,"So I used to use this app all the time and it was awesome. I know some folks had trouble but it worked spectacular for me; until the last update screwed this app up so bad you can’t use it; and I have no intention of ever doing so for anything more than removing my card, should I ever be able to log on again. Was placing an order; finished and went to cart; boom app crashes. Get it to reload, it shows 3 items in cart, but when you click on it, it wants to submit it, but will not let me see or review any item. I have no idea what’s being ordered. So I delete and reinstall; now my password and log in doesn’t work, even though it’s thumb print enabled and it’s saved to my phone!!!! Try reset password, emails never come. Call support; I got better luck going on a vacation with the Easter bunny, then I do getting off hold there. So I finally got on removed my card, and that’s it for me.",1,wesgeant33,2020-05-14 22:10:26,False,,Wendys
