,title,review,rating,userName,date,isEdited,Company_name
15,Gift cards,"I could do everything fine on the app but I got a bunch of T-Mobile Tuesdays offers which are only $2 each, and there’s no way to combine the offers. Also, it truly bugs me that I can’t use them online and I couldn’t sign into my account online to order a cake for my sisters birthday. I had to get myself to the store, choose one of the few cakes they had, and then use the gift cards one at a time. The poor people behind me had to wait about 15 minutes, and I had to give my phone to the cashier many separate times. It was embarrassing and utterly unacceptable.",1,Alyssa12322,2018-09-29 02:11:45,False,Baskin Robbins
16,App Crashes Every 5 Minutes,"This app is terrible. It won’t let me log in at all. I’ve already tried deleting and re-downloading the app and changing my password. And Baskin-Robbins prompted me to log into their website and I go to the website and it says I can only log in on the app... which the app won’t allow me to do. The coupon timer is ridiculous and the stupidest thing I’ve ever experienced. Also some Baskin Robbins locations DO NOT HONOR THE COUPONS! When the app was somewhat working, every time I clicked it, it had logged me out again. Guys there’s a reason this app has 2 stars...",1,lannayanna,2019-08-01 08:00:45,False,Baskin Robbins
17,Cheated with the coupon,"I decided to splurge on a budget to treat my daughter to ice cream since I had a coupon. We got 2 double scoops on 1-waffle cone & other in a waffle bowl). Using the coupon under deals in the app (buy one cone, get one 50% off). I was expecting to get 50% off one cone making the $5.29/2= $2.65 off to pay less.  The coupon only took off $1.78 (not sure where that amount came from😠). The deals on the 31st is no longer; therefore, I expect the coupon be more of a deal.  In this pandemic people can use more of a discount.  I felt cheated.",1,VA-JM,2021-02-11 02:43:59,False,Baskin Robbins
18,?? latest update has caused app to crash,"i used to be able to open app and be automatically logged in & my coupons pulled up, but since the update, i open app and it tells me to log in, which i do through FB, but instead of logging me in, it takes me to a screen that says sign up and when i check that i'm 13 or over, it says account already exists...well duuuuh, log me in though FB then, like i always have. Another thing is the B'day club. why ask for my b'day if its going to change the date by 2 or 3 days? Someone PLEASE GET IT TOGETHER. What is yalls issue?",1,Lilred127,2019-08-01 12:58:15,False,Baskin Robbins
19,Useless,"This app is completely USELESS!!! You can’t really order anything! I wanted to order a cappuccino blast and a banana split, but guess what?  You can’t order it!! What’s the point of having an app if you can only order pre-packed ice cream and brownies.  So.... let me get this straight, this app lets you order things you can go to the store and pick up, but stuff that takes time to make you still have to go in order and wait?  What’s the point then?  Whoever created this app must have been a genius!! Congrats to them!",1,poopsder,2021-01-29 00:42:42,False,Baskin Robbins
20,A request,So I’m writing this review hoping that the app could have a merge balance option when you have multiple cards. I had a few cards with $2 in them each and merging them would make paying easier rather than opening each one separately.,4,Bdjedjsksnsk,2018-05-22 19:41:16,False,Baskin Robbins
21,Easy to use and configure,"I love Baskin Robins. I use my TMobile gift cards all the time when I get them. There’s only one option I would add. Combine gift cards instead of having to switch through a bunch of gift cards. It would help a lot. 

The app works really well for me. No problems and everything is easy to access.",5,Eric bLyons,2018-09-05 18:49:04,False,Baskin Robbins
22,Worst App I’ve used to date,"This app is just disrespectful. I feel like BR hired a bunch of first year programming students to make this app. Nothing works. I’m always looking at a “loading” screen. App crashes all the time. It’s not worth the hassle to do anything on this card. It makes me not want to visit BR. I don’t understand how because the Dunkin Donuts app is phenomenal. If I didn’t know it before, today I am convinced Baskin Robbins is a failing company with no value over other ice cream shops. What a joke. Go to a local place instead. I’ll bet their “reward system” is better anyways",1,Chillllama,2018-07-10 17:15:28,False,Baskin Robbins
23,Sorry to say :/,"I downloaded this app around Father’s Day and tried to purchase a gift card for my dad. I was charged 5 times for one gift card cuz the app said there was an error message several times I tried to complete the order. Then after several attempts of reaching out to customer service I still have yet to get the money that was over charged back. :/ Bummed I don’t have something better to say about this app, but very disappointed with my experience.",1,Mea C.,2020-07-10 02:57:58,False,Baskin Robbins
24,Needs improvement,I love going to Basking Robbins but i hate this app. I have gift cards on the app but every time i go in store to try and use them they struggle and they apologize and tell me I can’t use it. Not only that but i also can’t merge them so when i was able to use them and it was once i had to individually scan each gift card. This app is such a let down for a growing ice cream shop. If you’re going to give me the option to pay from on my phone you need to make sure it works.,1,Philomenam,2018-05-27 01:46:43,False,Baskin Robbins
25,Worst app I have ever used,"Not only does this app frustrate you just trying to make an account to log in, which by the way you can’t, you are forced to use Facebook to log in... but even once you are in and want to pay, it asks you for a log in again, and there is no way around this one. It’s just a constant loop of asking for a log in name and password.

USELESS APP by a large company like Baskin Robbins. If I could give negative star ratings, this app would deserve it.

BTW, using the app on an iPhone 8 with iOS 11.1",1,TZRaceR,2017-10-31 21:58:41,False,Baskin Robbins
26,FREE ICE CREAM? WAIT 24 HOURS,"I thought I was gonna get his app while I was in the store and get a free cone, from what it said on the door that was how in worked. Nope. You have to wait 30 hours for the coupon to deliver. The app is also poorly organized, it looks like a collage. Terrible. Half the coupons there also have a catch, such as $3 off and in tiny words that u can barely read says “minimum $15 purchase”. I’m very dissatisfied and hope they fix their app soon. Because I’m deleting it. What a waste of space!!",1,Basic bish,2018-06-18 01:11:31,False,Baskin Robbins
27,Horrible...hasn’t worked in months,"Im not sure what happened to the app but it was working perfectly fine. All of a sudden it wont accept my email or password. When I reset it, it still doesn’t work!! I sign up all over again and the same thing happens with a different email. 
When I go online to log in, it works like the app used to! Can someone please fix this or add coupons to the website? Thanks.",1,Lexlex2000,2020-05-01 04:21:40,False,Baskin Robbins
28,Don’t work,I can’t believe this app has 4 stars when it does work at all. I was able to register but when I tried to order something it takes us straight to find a store after you select one it does NOTHING! it doesn’t even have a next button so you are not able to move forward. I try to make an order online as well and it has the same issue. Very frustrating!,1,DebraSO,2022-01-18 20:38:54,False,Baskin Robbins
29,Merge balance needed!,"4 stars, overall great except it could be better if they added the merge card balance option. It’s easier when paying and convenient when you are not using more than one card.",4,Jackiecr1507,2018-09-06 04:55:44,False,Baskin Robbins
30,Got me in trouble!,"My boyfriend wanted ice cream from Baskin Robins. I decided to download this app-which surprisingly downloaded pretty fast. I went to look up the ice cream flavors and topping flavors and the stupid app only listed cakes, novelties, pints, it even listed candles-really candles but not the flavors of ice cream. Seriously, the ice cream flavors were not listed. My boyfriends patience wore thin and he left the room frustrated with me! This is a “Thanks for nothing” app. Don’t waste your time downloading it!",1,Leenybeeny,2022-01-23 02:41:06,False,Baskin Robbins
31,App is horrible,"Almost every time I use this app, something doesn’t work. It’s usually the login. Today it did not accept my password and when I used the app to change it, the recovery email took me outside the app. For the fun of it, I tried to set my not-working password as my new password but it was not accepted because it was already used by me. Then, after actually creating a new password, the app did not recognize it either.",1,LMG GemLover,2019-08-01 02:35:01,False,Baskin Robbins
32,Needs more improvement,I love Baskin-Robbins but their sometimes don’t work in registers especially gift cards so k have many gift cards giving to me since they know my kids love their ice cream. I wish I can combine the gift cards just like the one from Dunkin’ Donuts. I wish u guys make this option available. Other than that it’s updates need more work like able to order online pickup or who knows.,2,chapina14313,2018-08-23 20:11:20,False,Baskin Robbins
33,Avoid at all costs,"So I decided to try the app for my kids. Wanted to treat them. The app make it difficult to register. Then saw the deals they had, was excited, but when I went to the store, was told that it was invalid even though I just registered. Even tried to order just a single scoop and the app apparently does NOT allow that at all. So avoid this app unless u want to waste your time.",1,Elich77,2022-03-25 03:01:53,False,Baskin Robbins
34,Birthdate,I just downloaded this app... and i put my birthday as July 27... and when i look at the date a few minutes later... it says 7/25 or 7/26... i dont want those dates i want 7/27... fix please and add a birthdate editing system... i think my only problem right about now is the birthdate... so i don’t know about the rest of the app,3,AliceClaros,2019-07-21 22:38:49,False,Baskin Robbins
35,Horrible,"As a T-Mobile customer, I have been unable to redeem the codes given to us. Using “forgot my password” just sends a new password for their birthday club but doesn’t help you sign in. As everyone else said, Facebook login probably works but if you can’t get your app working properly I can’t imagine you’d be using my Facebook information responsibly either. I hope T-Mobile drops BR and just gives DD codes until you fix this.",1,Bassichonda96,2018-06-21 22:46:02,False,Baskin Robbins
36,Disruptive bloatware. Not a functional app.,"Don't let them fool you. This is only really an app for custom ordering cakes. There are no coupons here for customers who like ice cream and sundaes. Never any new coupons and sends disruptive push notifications for the same three tired promos. I just don't want a mangonada. I've had the app for over a year, so I think it's fair to say I gave it a good chance!! Just bloats my phone.",1,Argenteuil,2021-05-16 18:07:18,False,Baskin Robbins
37,Cannot Log In,"I signed up for this app right before National Ice Cream Day.  I could log in fine and had coupons which included a free single scoop which would expire on July 31.  When I went to use it I could not log into my account.  I reset my password but still could not log in.  It is now a few weeks later and still says error on their end.  So lost my free ice cream.  Well, at least the app did not cost anything hence the 1 star.",1,Kikichan2000,2019-08-06 20:57:48,False,Baskin Robbins
38,Useless app,Not able reload app with gift card for more than two months. Website doesn’t have option to redeem gift card. BR is totally crap app and experience. Better to have other ice creams than these. They never forget to spam you even if you unsubscribe. Why there is no zero or negative rating here. Online order never goes through. I will not trust BR with my card details if they have such a crappy tech support.,1,AloneDreamer,2018-08-21 18:33:10,False,Baskin Robbins
39,Directions not clear,"I just downloaded with intentions to purchase items for a group. After twenty minutes of futzing around with it, I still cannot figure out how to add items to my shopping cart. This app is laid out differently than others as I don’t see radio buttons or any kind of “add here” to add items to my bag. Unless this is a recent bug- someone needs to add what to do to FAQ or somewhere. Thanks. Loyal customer and ex exployee over 30yrs algo.",1,RoSaid...,2020-01-13 23:31:46,False,Baskin Robbins
40,Maybe at points for each purchase,It would be nice to have a point system going on. For each dollar you spend you can gain points towards a feee scoop etc,4,brittmaw,2020-03-28 23:10:24,False,Baskin Robbins
41,Login?,"Why in the world would I need an app, if it doesn’t even have fingerprint/face ID login? I thought that’s the main reason to have an app? So you can log in easily? If it doesn’t do that, why do I need an app? I could just log in with the browser...
I’m not really using the app, except to use a coupon occasionally, but that log in thing really bugs me. It’s 2019!",2,miya361,2019-07-02 16:39:31,False,Baskin Robbins
42,Needs A Merge Balance Option,So Baskin Robbins and Dunkin’ Donuts are pretty much the same company. So how come on the DD app you can merge all of your card balances but you can’t do that on the BR app ? It’s such a pain to go to the store and swipe through several cards to pay and start a line of people behind me as the cashier is patiently trying to scan them all. Please fix this and make it just like the DD app and let us finally merge our card balances.,1,Breaktj,2018-09-19 13:44:38,False,Baskin Robbins
43,Could be a lot better,"One annoying thing is you cannot merge balances from different cards stored in the app into one card. I loaded several $2 cards I received into the app and each one had to be scanned separately at checkout, not the end of the world but it makes an otherwise quick transaction take longer than it should.",2,mday_71,2018-06-20 19:29:37,False,Baskin Robbins
44,Great Cakes!,I think up occasions to buy a BR cake! They always are fresh and beautiful. The Kanawha City store does an excellent job. The designs are perfect and I’ve never had an order that was wrong in any way.,5,Rabbit fit,2021-03-26 12:57:54,False,Baskin Robbins
45,Great Service!,Always greeted with a smile! They go out of their way even when they probably don’t want to so they provide great customer service.  Worth a “cheat” day!,5,Aheatherly3569,2021-02-14 20:23:08,False,Baskin Robbins
46,Doesn’t Work,"This is one of the worst food apps I have ever used. It continuously crashes to the point where I can’t even sign in. It also signs me out every time I close the app but gives me difficulty with signing in too. Now thanks to this terrible app, I can’t even access the gift cards I have linked to this account. Totally frustrated.",2,PrincessRice,2018-07-10 18:26:04,False,Baskin Robbins
47,Worst Restaurant App Ever,"I’ve never used an app for a store/ restaurant that is so bad. There has to be bots rating this 5 stars because it’s a 2 at best. It’s so difficult to order on and a very strange set up. The designer needs to be fired. Also, it’s very glitchy and doesn’t include the whole menu when you want to order takeout. You can’t even order a cone or anything like that. Quite a strange app.",1,B Risko,2021-06-25 04:18:44,False,Baskin Robbins
48,Even more useless after updating,"Update 7/10: After this newest update, this app is worse even more!! No way to log in except using facebook even though I’ve always have an account!!! So now I can’t add my gift cards anymore!!!

It has a bunch of things but they are mostly useless and takes forever to load anything! And THEY NEED TO HAVE A FEATURE TO COMBINE ALL THE GIFT CARDS INTO ONE AKA TRANSFER MONEY FROM ONE GIFT CARD TO ANOTHER! Even dunkin donuts has that feature!!!",1,babyloo_23,2018-07-11 02:14:18,False,Baskin Robbins
49,The app is to clunky,"You can’t or barely can scroll down when loading a gift card. Sometimes tapping on things won’t apply it. I lost a gift card because I never made an account, once I did the gift card was still missing.

You can’t even combined the gift cards so you waste time and space scrolling for cards.

A lot of things can be removed to make the app more usable and appealing.",1,Zimmy375,2018-07-10 19:38:52,False,Baskin Robbins
50,Horrible app,"I was at the register trying to check out when the app decided to not let me use it because I had an outdated version. It prompted me to click ok to upgrade which I did and nothing happened. This took some time to upgrade. Then my free scoop
Of ice cream which you get when you download the app showed up in stores as not valid. This app is a joke, kind of like the stores. Get it together and hire a new IT team.",1,Brit_Poy,2017-09-01 16:42:20,False,Baskin Robbins
51,these technical issues need to be thawed through !!,"I have been trying to order birthday ice cream cake for the past three days via both web and app, but both app/web have been freezing, and cannot place an order. called a local store but no one is picking up the phone 😭 these technical issues need to be thawed through!!",1,tmurase,2021-06-13 16:45:27,False,Baskin Robbins
52,Absolute trash.,It continues to change when my birthday is and honestly that was the only reason I even got the app in the first place. It’s saying my birthday was a few days ago when it isn’t until later this week. I know it’s only a few days but I wanted to fix it and all it does is make it worse. It crashes and takes forever to load. Not worth it,1,Ayemdee711,2019-07-09 06:44:15,False,Baskin Robbins
53,Needs major updating,"Cant merge cards together I have about 50 in there right now. Email customer service which takes 2-3 days for a reply saying they are able to merge cards so emailed back all the card numbers, took another 2-3 days for a reply saying they could only merge 10 cards........ PLEASE make it available on the app to merge cards so it’s easier for BR workers and for others with the app.",1,jovram,2017-10-26 02:04:10,False,Baskin Robbins
54,Worst app,"Worse app ever, that’s a joke that this app won’t let you merge balance into one card I’m a T-Mobile Tuesday customer and I get them when they have this option but it’s ridiculous that I have to keep several gift cards in this app. It looks that Baskin-Robbins doesn’t care about this issue since I’m not the only one complaining about it and they still haven’t fix it.",1,AcardosoP,2018-09-18 22:38:30,False,Baskin Robbins
55,Worthless App,"This app is worthless and cannot be used to order on an IPhone.  When it is asking for an expiration date for the credit card, it does not automatically input a “/“ between the month and year.  Only problem is there is no “/“ on the keyboard.  Avoid this useless product at all cost....",1,Woobstr112G,2020-12-26 17:30:12,False,Baskin Robbins
56,promotion,I was really interested in the stranger things promotion sweepstakes but it seems like everyone has the same issues. The password doesn’t work after you’ve already downloaded the app and made an account. it’s all a scam to make you download their stupid app. maybe i would’ve kept it with the rest of my barely used apps in a folder but y’all like to lie so here we are.,1,kara69420,2019-07-16 11:02:44,False,Baskin Robbins
57,Needs More items,"I downloaded this app hoping to be able to order my drinks and was unsuccessful due to them not offering Baskin Robbins shakes, cappuccino blast etc. Also I was going to order my daughter cake but it doesn’t give you the option to change the color icing. So I guess now I have no choice but to go into the store.",1,aimeebethine,2021-03-03 00:42:38,False,Baskin Robbins
58,App logs you out every time!,"It’s so frustrating when you have to sign into an app every single time you use it. I don’t remember this being a problem before the last few weeks. Now every time I close the app, it logs me out. It doesn’t even give an option to stay logged in or “remember me” or even allow for Touch ID/Facial ID. This app is seriously disappointing!",1,FlyBoy Jr,2019-07-31 17:52:20,False,Baskin Robbins
59,Barely Works????,"The app is barely functional, it lets you add gift cards but doesn’t let you merge the balances if you have more than one. And it doesn’t even let you add money onto your gift card! I believe it’s time for an update that gives the ability to do both. Every other apps like this one will let you add money and merge balances so I don’t know why your app doesn’t.",1,tabber57,2018-08-21 19:40:45,False,Baskin Robbins
60,Login Issues,You need to update the app so you can login in with Facebook. I have been having issues for a while. Even deleted the app because I couldn’t login with Facebook. Update please.,4,ZMan_101,2019-11-19 20:09:32,False,Baskin Robbins
61,Need update,The app is just okay but the thing that you really need to update it in it is to allow us to merge the balances of different gift cards in one card,4,Jjjnjnjj,2018-05-30 03:34:58,False,Baskin Robbins
62,Okay,My only complaint is that there still is no feature to combine the value of your gift cards! I get T-Mobile gift cards to BR sometimes and I have a lot stored up. Dunkin’ Donuts already has the feature so why can’t I have that feature too?,3,Big daddy Shanice,2019-06-18 22:00:26,False,Baskin Robbins
63,Horrible app of you want to sell product,Can’t get a gift card and I’ve tried multiple cards but always get error. It won’t load the menu items and actually shows nothing under the options. Not really great if you are trying to use it for selling items.,1,zcozadd,2021-07-08 00:12:15,False,Baskin Robbins
64,Needs improvement,"App isn’t great. It shouldn’t be that difficult for a company of this size to have a somewhat-functional app.

App desperately needs to not log me out of my account every 48 hours or so, needs to reliably reflect gift card balances, and needs to be able to merge gift card balances.

Please fix this app.",2,Nathan218,2019-06-22 01:37:34,False,Baskin Robbins
65,Unused Coupons,"Went to Baskin thought I was going to use the coupon clicked it but they no longer had what I wanted. Heading to another location and the coupon was gone!! What’s the point of erasing an unused coupon? If it is not scanned allow customers to at least use it rather than delete it!! Very unfortunate, decided to just go home.",1,Lynn0458,2019-06-04 16:57:49,False,Baskin Robbins
66,"MERGE GIFT CARDS IN APP, please!","Why can't you update app so we can MERGE gift cards? Dunkin Donuts did that a few months ago and it's working out great. Please consider merging soon!
Also, I tried using one of my several gift cards in the app and the store couldn't access it. I had to wind up paying cash. Why??",3,peppyauntie,2018-07-10 11:38:31,False,Baskin Robbins
67,Changing the deals,"Love the App, but my opinion is the deals should be changed a bit more frequently.",5,MPSQUAD01,2019-10-14 02:08:41,False,Baskin Robbins
68,App refresh and functionality need work,"I always have trouble with the app loading when I am looking for the latest deals. Sometimes I will have full reception, but it still won’t load. It makes it difficult to access the app when I need to.",2,Celisse.01,2019-11-20 22:00:45,False,Baskin Robbins
69,Update local shops,My city had a new Baskin- Robbins open a month ago and they still haven’t added it to the app. I can’t even order ahead or look at the menu which is convenient given the drive thru is always very busy.,2,brown_eyes5,2021-01-10 20:08:37,False,Baskin Robbins
70,Useless,"This app is garbage! It worked for awhile and still wasn’t working as it should, but when I tried logging in yesterday it completely stopped. I tried logging in and can’t. I tried changing the password and still was unable to log in. I’m glad that I didn’t have a balance left on this worthless garbage.",1,Kiki@310,2019-05-02 17:22:33,False,Baskin Robbins
71,Can’t merge gift cards,"I have the Dunkin Doughnuts app, and it allows for card merging and adding to Apple Wallet, I don’t understand why the Baskin-Robbins app doesn’t. They are the same company! I’m having a hard time understanding who at Baskin-Robbins thinks the merging of gift cards and the ability to add gift cards to Apple Wallet is a bad idea. As a consumer, those things would elevate my shopping experience.",1,FlavorMonster,2018-08-21 16:58:51,False,Baskin Robbins
72,Like it but not to much,First off this is probably the worst food or restaurant app there is no coupons no deals no rewards club no buy one deals nothing there is no point of the app,3,TTT J@COB,2020-08-09 03:26:56,False,Baskin Robbins
73,Unable to view gift cards when updating email address or login,"When I updated my email address to a new one, my gift cards won’t show up in the app. If I can’t see them from the app, there’s no way to use them.

I had to update it back to my old email address to be able to see and use those gift cards again.",1,Arvjuan16,2018-06-07 17:34:47,False,Baskin Robbins
74,Double dipping!,"This is the worst app ever. I won a $20 gift card and tried to put the balance on this App. When I tried to use it, the clerk said it’s showing the card as invalid and wouldn’t honor the balance on the app. Not only did my friend pay for a worthless $20 gift card, I had to shell out the full balance to pay for my purchase. Double dipping, not cool Baskin Robbins!",1,Cdvs09,2017-12-31 18:56:47,False,Baskin Robbins
75,Fix Your Online Ordering,"Can't even access my shopping cart on your app OR in your site. Everytime I try all I get is ""Error, looks like we're frozen."" Your ability to service us online, whether through your app or website, is nothing short of frustrating.",1,Ji1HoNg,2021-06-16 22:09:29,False,Baskin Robbins
76,Couldn’t get the deal,"First time I tried the app, I couldn’t get the deal for an ice cream cake on my phone. No service in restaurant to show them the
 deal. I tried again for another time months later at a different store, same exact thing happened again!!! What good is the app? All my other apps seems to work fine, no problem. 👎🏼👎🏼",1,Suntreking,2019-09-07 23:41:15,False,Baskin Robbins
77,Gift card doesn’t have value when I try to use it,"Even though card shows $2 balance in app, when stores scan it, they say there’s nothing on card. When I look at transaction history all it shows is the date I created it. What a ripoff!!!",2,Sushi Breath,2018-10-08 16:11:41,False,Baskin Robbins
78,Keep me logged in,"I believe this app is great in every way. But I will not give five stars until it gives you the option of staying logged in. Better yet, how about putting the finger scanner or face recognition as way to log in.",3,What the heck?$&/$:):):',2018-04-09 14:16:55,False,Baskin Robbins
