,title,isEdited,rating,review,date,userName,Company_name
20,Amazing Donuts @ Amazing Prices,False,5,"Of course their donuts are amazing, but everything else is as well. Often people tell me they think it’s too expensive, but I explain how KK is actually less expensive than all other donut stores. Between the coupons (mail, paper, email, etc) & the rewards program (app) I never pay more than $11 per 2 dozen (hot & nows &/or picked-assorted). On top of all that I get free dozens from the rewards. So amazing donuts at an amazing price!!
 ❤️🍩💚🍩❤️🍩💚🍩❤️🍩💚🍩❤️🍩💚💚💚💚💚",2018-03-10 18:51:09,TaraMusick,Krispy Kreme
21,The app just keeps kicking me out.,False,1,"I wish I could get into the Krispy Kreme App. I tried everything for the last month or 2. Every time I log in the app logs me out. I have a iPone 8. I event took the app off my phone and tried re-logging back in. Each time I try it kicks me off the app when I click log in.

Luckily each time I have gone in the last two months Krispy Kreme has been able to determine my account by my phone number. But it would be nice to be able to access the app like I used to to see what rewards, offers are available after two months. 

I like what it does offer with a dozen donuts or regular donuts.

I wish there different rewards like if you buy mini donuts or buying drinks besides coffee. My family really does not drink much coffee and we may visit the restaurant normally in the afternoon. 

I also wish there was a Krispy Kreme closer to Amelia Island or in NASSAU County rather than a Dunkin’ Doughnuts or driving all the way to Jacksonville. There is not many breakfast restaurants where we live except for the Waffle House or Dunkin’ Doughnuts so a Krispy Kreme would benefit our town.",2020-09-12 12:02:23,STC's Eagle Scout,Krispy Kreme
22,Way too cumbersome and just doesn’t work,False,1,"I love Krispy Kreme. Seriously, it’s an amazing product. However, this app (at least my experience) is far below the standards of their restaurants. I downloaded the app thinking it would be as easy and streamlined as others in this segment like Dunkin and Starbucks. Those seem to work smoothly and allow me to reload cards swiftly and with no glitches. 

However, the Krispy Kreme app has gone completely off of the rails. I downloaded the app, set up my account, attempted many times to load funds onto my account with multiple methods of payment and every one of those triggered a “whoops! Something went wrong” message. After quite a few attempts I deleted the app to try again another day.  Today was that day. I downloaded the app again, logged in, tried to load funds and again was greeted with “Whoops!...).  I know these MOPs work as I use them daily and have no issues except for the KK app. So it is now deleted, again.

Hoping that Krispy Kreme can Trouble shoot this as I love their product but this app falls short of their reputation.

P.S. allow touch ID instead of continually logging on.",2018-12-15 15:08:07,bwalsingham,Krispy Kreme
23,Major kinks,False,3,"For one, you’re not actually able to make purchases in the app. Instead it routes you to the website which prompts you to input your email and password, which does not save. Also when I tried to remove something from my cart, the drop downs do not have zero and there is no remove button. Since the purchase is not in the app, you cannot swipe either to remove. On top of this, if I log out and re-enter, the things are stuck in my cart. Aside from the rewards this app is not very useful. I plan to purchase from the store and scan for rewards which is almost pointless.",2019-10-26 12:50:51,HelloYou1982,Krispy Kreme
24,Hate the new rewards system!,False,4,"Krispy Kreme used to have it where you could order anything and just accumulate points and spend those points on any product in the app. Now, you have to purchase that specific product in order to receive and redeem points on that specific product. I loved how you guys had it before. I always purchase your variety dozens and I would treat myself with a coffee every once in a while, but now it’s requiring me to always purchase a coffee in order to be able to redeem a coffee.. Please go back to the old rewards!",2018-09-29 11:37:47,Court Fernandez,Krispy Kreme
25,"App is fine but history button not working, terrible customer",False,2,"The app had been recently updated and I had noticed the points history button is not working. It had before the update anger does. I’ve attempted to tell app support who’s really customer service about this issue. Instead of a simple reply like ‘thank you, we’ll let tech support know’ I get “You may have to contact iPhone to see if they’re having issues on there (“April- Krispy Kreme Customer Experience” made the typo) end.” Umm, excuse me?? April had said this twice. I’ve kindly tried to explain that this is not an iPhone issue!! Krispy Kreme’s app has a broken button. How is that iPhones issue?
At this point I’m fed up explaining. 🤯",2018-03-20 21:15:57,FL2KS gal,Krispy Kreme
26,"Edited Review: Not Optimized for current OS, plenty of weeks after iOS update.",False,1,"Edit: So for the first day the update worked. But now we’re no longer able to log in, and the app is telling us the account isn’t recognized but we’ve not changed anything, same email used for the last 6 years.. 

Hi, your app isn’t optimized for the current iOS, and we’ve been on this iOS for a few weeks now. There were betas for said iOS as well. Not having an optimized app, while also encouraging customers to sign up for deals and rewards, is a very bad business strategy and I’m unsure why Krispy Kreme, quite a major brand, is dawdling here. Users can’t even open the app without it force closing on them. Please update soon.",2019-10-06 21:47:08,Felweed,Krispy Kreme
27,Recent promotional,False,3,"On June 27th Krispy Kreme advertised a promotion for rewards members. If we purchased 2 dozen donuts we were to receive the Krispy Kreme sunglasses. That afternoon when I stopped in to buy the donuts and get the sunglasses, I was told they were all gone. They informed me that they had just been handing them out to every customer that came in!  As many as they wanted!  I showed your email that explained the promotional to the young lady at the counter and she said they knew nothing about this being a special item.
Doesn’t management at the stores read your documents?
This was the store in Harrisonburg, Virginia.
Just a little disappointed.",2018-06-29 14:13:02,debbielynn27,Krispy Kreme
28,Very disappointed,False,1,Well we dearly love Krispy Kreme. We do not have one near us so when we planned our vacation we decided to go through Lubbock where there is a store. All 8 of us traveling together got out of our vehicles excited to start buying our doughnuts. When we got in the store there were very few doughnuts we couldn’t believe our eyes we went ahead and bought two dozen of what they had of course none of our favorites. They looked like someone had set on several others were very small others were oddly shaped  & very greasy needless to say they even tasted horrible so in the trash they went. 8 people left very disappointed & we will see how this complaint is handled to see if we ever go back again!!,2019-05-13 00:12:27,Texas Bubbles 33,Krispy Kreme
29,No place to add gift card??,False,4,"The app is good overall.  Easy to order online from your local store, easy to track and redeem rewards, easy to add payment methods.  But I just purchased a gift card and wanted to add it into the app to keep up with it.  Can’t figure out how to do that - apparently there is no option to add a gift card.  Really??   In this digital age, that’s really a must.  If you are going to run promotions on electronic gift cards, then make it easy for us to use them.  Krispy Kreme - step up your game.",2020-12-12 02:44:03,DDD11,Krispy Kreme
30,Unusable and app support returns 404 error,False,1,"I wonder if app support or anyone from Krispy Kreme actually reads these reviews because you have some pretty upset customers trying to use it and losing points and patience with what appears to be no response. 

I downloaded the app a couple weeks ago but could not get signed in. This morning I signed up a new account and got into the app but it’s pretty much unusable - the rewards and offers page won’t load and crashes the app - ie throws me out of the app, and pretty much any other menu choice does the same. All I have been able to see is the location stuff. 

Running iOS 11.4.1 on iPhone X. And hoping to get at least one free donut for downloading the app as promised!",2018-09-03 14:06:07,Scoreblue,Krispy Kreme
31,Why?,False,2,"I wonder why I have to wait 30 minutes to get cold donuts ! I’m more than willing to wait for hot donuts because let’s be honest, they are worth it! But if I go through the drive thru when the hot light isn’t on.. with the expectation that the donuts are cold, I don’t expect to spend much time waiting...especially when there are no other customers in the drive thru line and there are sparsely maybe 4 or 5 cars in the parking lot! Every time I go to this park meadows location the workers act like it’s a hassle to serve...  maybe I’m wrong, but I thought that was why they’re paid. Krispy Kreme is an awesome donut shop but park meadows give them a sour taste!",2018-05-01 00:43:18,tu2glad,Krispy Kreme
32,Not able to load Gift Card,False,1,"Got a $10 e-gift card from my mobile provider. Instructions are to show it to cashier. I show cashier and she looks puzzled. Blames it on that it’s not loaded into the app. I say it’s no big deal and pay cash and decide to come back another time. I come to find out that there is not a section to load gift cards on like every other major company from Starbucks to chick fi la.

I’m not giving it a 1-star because of my poor experience in store.

I am giving it a 1-star experience because you the app will only take new money from a debit card. I am not able to use my “Krispy Kreme Gift Card” which are American dollars that are only valid at a Krispy Kreme.",2019-05-20 12:37:00,hEMpINEM,Krispy Kreme
33,Ordered donuts for delivery not received,False,1,"I had used the app and paid for 2 dozen donuts to be delivered as a Christmas gift.  I just realized today when placing a separate order that my last order was never delivered. Although bought and paid for my order is sitting in limbo. Nobody has notified me of problems with the delivery.  Even worse, when I select the phone number to call to discuss online orders, the number is not in service!  I love the donuts and service when I pick up or walk in, but online delivery and related online service is a complete failure! On top of it, I look bad because my gift was never received! Thanks a lot Krispy!",2022-02-15 16:18:38,MJR6656,Krispy Kreme
34,Overall Krispy Kreme Technology Isn’t Sweet.,False,2,"Their product may be sweet but their tech and this app are not.  Every message every received remain cluttering the inbox long after no longer relevant.  The menus don’t match the actual selection at the local store.  There’s no way to order ahead to have selections ready upon arrival.  The mobile payment system within the app is useless when the store’s system can’t receive payment from the app (leaving funds stuck inside the app, wasted).  

There’s much work to be done here and such a large chain ought to be able to handle it.  Sadly disappointed.",2018-11-20 22:31:02,DaSuss,Krispy Kreme
35,Buggy,False,1,"The app let me add a couple donuts to my cart and then when I went to check out it told me those donuts are not available. If you’re not available then why did you let me put them in there. 
And then when checking out it gave me an error message so I started over from scratch and when I got to Krispy Kreme I had four dozen donuts instead of two dozen. The first order went through even though the app told me it didn’t and the people in the store just said “yeah both orders went through; they’re both yours. go ahead and take.” thanks a lot! now I have four dozen donuts and I spent twice as much as I want to",2021-03-28 11:59:46,SLarsonyann,Krispy Kreme
36,App gone down hill,False,2,The Krispy Kreme app is very convenient when it is working. I would give it a five star except it hasn’t been working for at least this month. I constantly get errors when trying to make a purchase. I have to close out the app to get it to work again. Then today I went to order some doughnuts for Halloween and when I get on the app it only shows drinks in both the doughnuts and drinks tabs. Basically worthless for what I needed it to do. Now I have to go wait in a long line so I might not have time to buy any. Sad.,2020-10-31 15:18:36,Barba Chinchudo,Krispy Kreme
37,"Fake reviews, broken website",False,1,"So many of the top 5 star reviews are people simply reviewing for rewards of some kind. The app is entirely unusable. You cannot create a new account. You cannot sign in with facebook. If you attempt to use it as a guest, it crashes after you select a delivery location OR pickup location. After it crashes, you can no longer use the app as a guest, and you get eternally locked into the sign in screen where the user is given 502 “Bad Request” or “Bad Gateway” errors. There is something seriously wrong with the server running the mobile website as well as the app, and until its fixed, this app is absolute garbage.",2020-03-03 19:39:15,Chibitoru-san,Krispy Kreme
38,Stopped Working; Doesn’t Recognize Me,False,1,"I used to use this app about every month just fine. Signed up/in through Facebook, got my rewards and all that. Updated the app, signed in, and it’s making me go through everything like I’ve never used the app before. I checked my email to make sure I had the right one, I did, and tried to sign in again. Still doesn’t recognize me. And it pops up an error message saying “Uh oh! The data couldn’t be read because isn’t in the correct format!” WHAT DATA?!? I hadn’t typed anything in. It wouldn’t have let me continue through everything if I had entered the data wrong. All my info and saved points are gone.",2018-09-01 21:17:23,anthro_chick,Krispy Kreme
39,Broken it doesn’t work,False,1,"This app is beyond broken and non-functional. I tried to do a custom order of donuts an the moment I hit the button to customize my order the entire application hard crashed and closed. The one time it didn’t the only option for a doughnut that I had was the glazed donut. There were no other options, I couldn’t choose any other doughnut so I tried an I hit randomize my order and it crashed again. All of this on a day where the two only Krispy Kreme establishments near me are both having the same malfunction with her machine. All I want are some freaking donuts.",2021-03-07 18:28:30,Rufus Ontario Rose,Krispy Kreme
40,"NEVER Had A Problem ❗️OK, One😢",False,5,"I’ve been a K-K addict for over a year now and go out of my way, about 20 minuets, to get to my store.  I’ve  got over 825 points and I’ve probably cashed in points for a dozen glazed dozen.  I love the program almost as much as the donuts. 
PROBLEM: They need to clean up “Messages” or make an easy way for me to delete the expired offers.  I’ve got them going back to June, 2017 and can’t get rid of them. 
                              FIX THIS❗️",2018-01-17 14:42:25,VA_Gent,Krispy Kreme
41,I love my Krispy Kreme App,False,5,"I am so happy that Krispy Kreme is still available. I really miss watching my favorite donuts being made in Orem, Utah. I originally got into Krispy Kreme several years ago in Orem, Utah. Thank you for creating my favorite donut shop app. I will definitely be visiting everyone at Krispy Kreme shops and buying my favorite donuts and treats from stores that carry them. I also love coffee. Thank you very much.",2021-07-09 05:44:48,juliecoleman76,Krispy Kreme
42,Stole my money,False,1,"I wanted to use the app feature to pay so I added $30 using my credit card it gave me an error so I thought it was the card type, I used a debit card to repeat the process and got the error. No funds were added to the app but the transaction processed from my bank and 2 times from my credit card. Essential I wanted to add 30 to use. And they took $90 without reflecting it in the app. I have tried to reach out but there is no good contact info available I ended up submitting a concern thru the website With return contact info but have not received a response.",2021-10-20 17:08:12,TDLOC,Krispy Kreme
43,Limited Payment Options and Inaccurate Store Info,False,1,"The first thing I noticed was the inaccurate store info. The location nearest to me has a drive-thru but the app says no drive-thru available.  Then I discovered the only way to  pay through the app is with a credit card. What if I want to use a gift card? I bought gift cards for my kids so they could use the app, too (they don’t have credit cards of their own and I’m not about to put my card info in their apps). If I can’t rely on the app for accurate store info and I can’t use my preferred method to pay, why keep the app? I won’t.",2020-04-25 15:50:33,Security Geek,Krispy Kreme
44,Nothing but horrible experiences,False,1,"Since downloading the app a year ago, I’ve tried everything in the word to get it to work so I can use it. I’ve been told it’s unable to connect to my Facebook account for whatever reason. I created an account but it never sent me an email. Then when I go to log in with the apparent account, it won’t let me, and if I try and send a new password to myself, nothing ever gets sent. If I try to create a new account, it tells me I already have one. I’ve deleted the app and reinstalled multiple times and I think I’m finally done trying, which is too bad. There’s no winning with this thing.",2018-12-09 03:45:12,Seanzy_19,Krispy Kreme
45,Hot donuts!,False,5,"Yep,, I know when the best donut in America is hot now!! There’s not another donut shop in the world that has the donuts being made in front of the customer. This app rocks on so many levels!! I grew up with KK’s. That’s what we called them back in the 60’s. We would all load up in the car and go get KK’s,,,, usually on Sundays after church,,, and sometimes they were hot!! It’s a great day for the consumer when we know the KK’s are hot!!!",2019-03-26 13:59:42,27bert65,Krispy Kreme
46,Rewards doesn’t work - ever!!!,False,1,"I have had this app 2 months in conjunction with a newly opened location.  This app hardly every works. At the store, never once have i been able scan for the rewards program - they must ALWAYS enter my cell number to record a purchase for rewards.   Offers come to my email (not the app), so when I click the offer, it opens the app, but the special offer is not there and i have to go back to the email.  Finally, my new location just doesn’t exist... at least as the app is concerned.  KK... i LOVE your product... your app should reflect the quality of your product",2020-03-13 13:42:06,Upset Polygot,Krispy Kreme
47,KEEP TAKING MY MONEY,False,1,"I ordered online twice. I never got anything for both orders. It would say it was delivered when I never got anything. No refunds or what! Call the branch they would say they don’t know what happened or that they don’t deliver. Such a big company, can’t coordinate anything. If a branch can’t deliver then don’t put them as they can, if you can’t deliver food, cancel it, let your customer know why and issue them refund not the other way around. Tried calling customer service, NOTHING. Tried sending an email to customer service, BIG FAT NOTHING!!!!! This company doesnt know even the basic customer service stuff.",2020-03-17 00:09:13,kdenina,Krispy Kreme
48,New Design! Some worries,False,5,Great design but I can’t find my rewards points from the old system. I need some assistance. I recently updated the app to the new Krispy Kreme experience and I am a huge fan of the redesign! However upon further searching I can’t find where my points transferred over from the old system. Still a fan and will continue to love y’all but a little frustrating.,2018-09-03 05:45:26,NBC=CNN trash,Krispy Kreme
49,Works well missing a key feature,False,4,I’ve never had any issues with the app it does what it is supposed to. But why can’t I add the rewards card to Apple Wallet?  Just about every other app from a food company that uses a rewards feature allow you to add it to the wallet for convenient access. Some places even have it show up on the lock screen for even quicker access. Just a thought,2018-07-14 19:50:07,cjo85,Krispy Kreme
50,Lies and tracking,False,1,"First off, app doesn’t work without full location allowance. So glad I can have my battery dead by lunch time by allowing KRISPY BLOODY KREME to know my exact location even when not using the app. Fantastic. Also, the whole reason I downloaded was a lie. No free doughnut for app ordering. No special deals. Just Krispy Kreme’s way of saying “we know where you are and aren’t willing to offer any positive experience in exchange for this luxury” 
This app is beyond terrible. Why are there still so many braindead morons saying this app works? It doesn’t fulfill any of the intended or stated purposes. Wish I could give it less than 1 star.",2018-02-04 15:11:23,Big Seahorse,Krispy Kreme
