,title,developerResponse,rating,userName,isEdited,review,date,Company_name
10,Failure after failure,"{'id': 6113710, 'body': 'We are very sorry to hear this and we want to make this right. Can you please email us at tbmobileappteam@yum.com so we can help? Thank you!', 'modified': '2018-11-26T20:04:54Z'}",1,iThaiger,False,"The interface is very touchy and the screen jumps all over the place. It finds my closest Taco Bell. I eventually manage to order my food. It takes my email, phone number and credit card. It tells me my food will be ready in 10 min. My credit card is charged but no email receipt. So I wait. Nothing. I arrive more than 15 min after the charge hit my credit card. No order. No food. An employee tells me I need to log into my account to show her the order. I showed her the app. It does not ask for a password or name, just email, phone and credit card.  Only the email can be used but a password is needed. The manager tells me I cannot get food because I have no receipt and I cannot get a refund because I ordered through the app and not his store. I have to take it up with customer support. Fine. It’s at this point when I realized if I reopened my app, as if to start a new order it saved my info. But it shows no order. Whatever.  I’m hungry, I’m here. I go to the register and repeat my order to the woman at the register, she stops me and tells me one of the meals I ordered doesn’t exist. In the app, for this particular store, there was a meal containing 2 chalupa supremes, a taco and a drink. So I asked about it again as it is also offered on Taco Bell’s website. The cashier’s words were “that combo does not exist in any Taco Bell anywhere””there is no Taco Bell where you can order that.”
So I left without food that I already paid for.",2018-11-22 04:54:34,Taco Bell
11,… wish I could have used the app.,"{'id': 6852471, 'body': 'We are very sorry to hear this. Can you please email us at tbmobileappteam@yum.com so we can assist? Thank you!', 'modified': '2019-01-15T20:14:00Z'}",1,Kawaii_Hime_Ceres,False,"I decided to open up my Taco Bell app and give it a try. I’ve had it for a long while but just didn’t use it. First things first… completely new app. No big deal. I wasn’t to familiar with the old app. I knew I had an account. Go to sign in and it says access denied. Go to recover my password and it says something similar. So I thought maybe new app new log in. Go to create, email is in use.  Delete the app and reinstall. Now it’s working and we’re logged in! I use a lot of apps to order but this one didn’t feel user friendly to me at all. I finally found the coupons. There’s one for 15% off. Great! How hard can this be… we’re just ordering some food after all. I clicked on the grande box. The one with tacos and burritos. Get the burritos in, everything’s going smoothly. Go to the tacos. Soft tacos. I needed these to be customized three different ways. Put the first one in. Go to start the second specialty set. It’s lumping those with the first soft tacos I set up. I deleted and tried again. I repeated this process several times before showing my IT boyfriend the issue I was experiencing. I wanted to make sure I was doing it right. Yep. I was doing it right. Again and again. After about the sixth try I gave up. We aren’t a family who will all eat the same type of soft taco. So no 15% off for me. Nope. Why you ask… because I went through the drive through. Coupon states only good for mobile or online ordering.",2019-01-12 04:55:40,Taco Bell
12,Always glitches,"{'id': 21072288, 'body': ""We’re sorry that you're having issues with the app. Can you write to us at tbmobileappteam@yum.com? Please include a description of the issue you are facing along with any other details."", 'modified': '2021-02-15T17:32:16Z'}",2,flutesp,False,"I’ve been using this app regularly for about a year due to COVID, but there are always glitches going on. First, my past orders never show up in the past orders section. Second, I often order the same things with the same modifications. I have saved these items as favorites, but they never appear under my favorites section. But when I try to add them as a favorite again, I’m told it’s already a favorites item. So instead of making it easier on me, I have to go through the hassle of adding the same modifications every single time. Third, it saves my card info without asking me if I want it to save. And if the card info is already saved, it will still save it as a new card...so the same card is listened multiple times. I don’t want my card info saved at all so I always have to go in and delete them. Last, for the last 2 or so months, reward points stopped working for me- but I’m still getting emails about having points to use up before the expire. 

I keep my app updated in hopes the glitches will get fixed, but it’s been almost a year for most of them and I’m just annoyed about it. I still use the app to order because I like that I’m having as little contact with people as possible so we can be safe, but having the same minor inconveniences for so long is very irritating.",2021-02-11 21:11:41,Taco Bell
13,"Great App, but keeps locking me out","{'id': 24297625, 'body': 'Apologies for the login issues, please contact us at DigitalSupport@TacoBell.com so that we can take a look.', 'modified': '2021-08-03T21:28:39Z'}",4,Vesper V,False,"I’ve been using the taco bell app for some time now and it makes eating there much more convenient; having access to the online exclusive items is a big plus as well as being able to save favorite items and orders for future visits so I don’t have to keep telling them the specifics of what I want.

However, just recently I spontaneously got locked out of my account on the app and every time I try to log in it says “log in failed.” I know for a fact that I put my information in correctly as I have the information saved to my device and have not touched it since I made my account. I looked it up and apparent this is a common issue. 

This is very disappointing, especially since some people have been locked out of their accounts for weeks, even months. I hope this does not happen for myself or for others from this point on, but if it is occurring (which if it’s happening to me then it’s likely happening to others) often then I will not be using the app any longer, which is unfortunate because I often utilize everything from the favorites to the notifications for deals as well as the rewards (ESPECIALLY THE REWARDS!!) Please fix this issue.",2021-08-01 21:17:15,Taco Bell
14,Useful but not always reliable,,4,Buckeyenut33,False,"First, the app isn't optimized for iPhone 6 or 7 plus models and the widescreen resolution is kinda annoying. Second, submitting an order vs. ""checking in"" at the pickup location don't always sync well. It tells you to wait until you arrive, but there's often 10+ min delay between my check-in time and when the order finally queues at the restaurant. Kinda defeats the purpose of the app's supposed convenience and time-saving abilities lol. Third, there is nowhere in-app to add special instructions or requests for the order (i.e. extra sour cream on the side). You have to make those requests at the restaurant, but adding a simple instruction at TB is like asking them to perform brain surgery. And when you tell them you want the extra items on the side (which you already paid for in-app) 99% of the time they charge me AGAIN at the window. Lastly, the app should decrease the odds of TB screwing up the order since I'm placing it myself and making sure it's correct. And yet they NEVER get it correct lol don't seem to have this issue at other restaurant apps (chipotle, subway, etc.) & I've tried at numerous TB locations, so it's super frustrating. The app works well for most part but the human element in-store is still a massive problem.",2017-06-05 19:21:14,Taco Bell
15,BROKEN!!!,"{'id': 8650451, 'body': 'Please accept our sincere apologies. Can you please contact us at tbmobileappteam@yum.com so we can take a look?', 'modified': '2019-05-13T22:07:13Z'}",1,dvisicaro,False,"I used to use this app back when it actually worked, but at some point they did an update or something and it made me have to sign back in. Normally this wouldn’t be a big deal but when I tried signing back in it wouldn’t let me no matter if I did it through Facebook or email. If I tried signing in through Facebook it would pop up asking if I’d like to allow it, I say yes, Facebook thing pops up, accept, back to Taco Bell app, and then it just has a red banner at the top that says “login failed” (or something like that). It always does that and never goes any further. If I try logging in through email it says I’ve made too many attempts and need to reset my password. Annoying but whatever. I go through all the steps for that until I get to the step of selecting a new password. I type it in and hit continue and it just sits there for a bit kinda like its trying but then just goes back to being a button for u to select to continue and NEVER gets passed that. I like to get Taco Bell breakfast stuff almost every morning but with this SIMPLE feature STILL not fixed after MANY MONTHS of it being like this I might just go somewhere else where I can order something and have it ready as expected...guys, please fix this...it should be REALLY simple...I have iPhone X and this app is the only one that ever gives me problems like this, really not thinking my phone is the issue here -.-",2019-05-13 04:24:36,Taco Bell
16,No pickup times available,"{'id': 8537112, 'body': 'Apologies for the experience with the app. Can you please email us at tbmobileappteam@yum.com so we can look into it? Thank you!', 'modified': '2019-05-06T18:42:12Z'}",1,therealmgchan67,False,"I have tried to place an order several times and found that the store i was trying to order from had no pick up times available, so I cannot complete the order.  On several occasions, I am sitting in the parking lot of the store because it has taken the entire drive time to try and complete my order on the app — the store is obviously open, but still no pickup times are available.  When I questioned one manager about the app, he said, “I didn’t even know we had an app” — I guess corporate needs to work on pushing out information to their stores and franchisees.  Another frustration is that when you try to choose a pick up time, you have to choose an option in 15 minute increments.  So, usually, I will be 5 minutes late or 10 minutes early to a location.  Then, it seems that they don’t make the food until you get there and talk to someone, so what is the point of ordering ahead?  I also don’t like that you have to choose your pickup method before you get to the store. So, if I choose drive-thru and then arrive at the store and there are 15 cars in the drive-thru line, I am stuck. So far, only the McDonald’s app lets you choose when you get to the store.  Overall, the Taco Bell app has been a frustrating experience — and that is only for the 2 times I have gotten it to work.  For the other 5 times where I couldn’t even place my order it was worse.",2019-05-04 17:08:05,Taco Bell
17,Great App if stores were notified.,,4,BritneeRae,False,"Husband just went to pick up our order and they don't have tomatoes, sour cream, red sauce, avocado sauce, or the ""double chalupa"" which was ""new featured item"" or the box (combo) in association with it so basically he asked for a regular chalupa instead of double; they couldn't substitute and couldn't refund b cause they didn't have the detailed order of the cost (extra cheese, ect) so once I called him and asked why she couldn't just pull up the order number and see the details... basically she eventually figured out how to refund (I think/hope) but I keep trying to give it another shot and because of the inconsistency and inconvenience I won't be attempting again. Sad part is I still love the app but my store never knows that I've placed an order and ALWAYS has issues like they are regularly out of things (beef?!) that are on the menu and once The app allows me to order off lunch menu my store still won't make it until 11:00 even though the app says lunch is available before then.... so basically a good app doesn't mean much if the stores aren't in sync with the app. 
(Previous review from 2 years ago..... I love that I get to take my time and order without feeling rushed and it's ready when I arrive!!)",2017-07-02 16:55:04,Taco Bell
18,Didn’t receive whole order.,"{'id': 20114346, 'body': ""We highly regret any inconvenience this caused. Please shoot us a message at tbmobileappteam@yum.com with all the details. We'd be more than happy to help. Thanks."", 'modified': '2020-12-31T23:16:31Z'}",2,ivylamb,False,"So last night was the first time I downloaded and used the Taco Bell app instead of ordering inside/drive thru. The lady at the window was very nice and when she handed us the bag it was sealed shut, plus there was a long line and I was just ready to get home to eat and go to bed, so we didn’t bother checking. We’ve never had issues with wrong orders before so checking the order didn’t cross our minds. Unfortunately when we got home and pulled all of the food out we were missing two desserts and all of our sauces we asked for. I checked the receipt to see if I made a mistake when I placed the order online since it’d been my first time using the app, and everything was correct on the receipt. We didn’t want to make the drive back to the store and wait in line again, so we just took the loss. Even better, when we finally started eating, I figured out the steak quesarito wasn’t even made right with the ingredients that was listed on the app. I was hungry so I ate it anyways.. with no sauce. I’m not saying I won’t go back, it’s just that Taco Bell has never disappointed this Taco Belle before. I’m not sure if the items were overlooked or if there is something confusing that just happens with the online/APP orders or what. I just thought I should leave this here. *Happy New Year*",2020-12-30 17:38:23,Taco Bell
19,Convenient but very buggy,"{'id': 27263903, 'body': 'We’re sorry for the trouble and appreciate you bringing this issue to our attention. We will look into this further.', 'modified': '2022-01-05T21:12:03Z'}",3,LosingIt0076437,False,"I want to start out by saying I do love this app. I have food allergies and it helps the store get the order correct more often than not, and I love paying through the app. That being said, there are so many bugs in the app. If you add custom items (all my items require being custom to avoid my allergy) then add a meal, it wipes out all of your custom order. And you can’t go in and fix the order in the cart, it won’t let you save. You have to go in and delete each custom item and then add them back again. It’s best to add everything to the cart first then do customizations, but this has been a bug for a long time and should have already been resolved. Also, I created custom favorited items to help easily put in an allergy friendly order but the same or similar bug happens: it says it’s customized under favorites but when added to the cart, all changes are erased. Big problem for picky eaters and people with food allergies who may not know that happens. My paranoia at having a reaction making me triple check is the only reason I’ve caught the app wiping my changes. It makes what should be a simple experience more complex and frustrating. Fix these bugs and this app is easily 5 stars.",2021-12-30 17:35:22,Taco Bell
20,Please fix rewards & current menu items!,"{'id': 21272268, 'body': ""We’re sorry that you're having issues with the app. Can you write to us at tbmobileappteam@yum.com? Please include a description of the issue you are facing along with any other details."", 'modified': '2021-02-24T19:02:13Z'}",5,Tribal kitty k,False,"Taco Bell app is okay. It lags a lot of times no matter what location or state I’m in. 
Something I really don’t like about the Taco Bell app is that it doesn’t have the Limited menu items on their app for example “Nacho Fries.” It’s not even located in the “New” category which if it’s not a regular menu item it should be in there at least. Also another thing I don’t like about Taco Bell is that if you order in person or in drive-thru there’s no way to upload your missed transactions for Taco Bell rewards you’re only rewarded points for ordering in the Taco Bell app. Which I have no problem ordering through the app I prefer it however if you don’t have what people want to eat on the app like the “Nacho Fries,” there’s no point ordering through the app. It would be a lot better if Taco Bell found a way where you could upload your receipt on their app for missed reward points just the same as Chick-fil-A does. Last week I visited Taco Bell drive-thru 4 times bc my family really enjoys Nacho Fries and that’s 4 visits of missed Taco Bell rewards point opportunities.",2021-02-23 00:10:08,Taco Bell
21,Never works & very inconsistent,"{'id': 9253342, 'body': 'We apologize for this. Please send us your concern at tbmobileappteam@yum.com along with the screenshot of the error you receive. This will be handled with utmost priority.', 'modified': '2019-06-19T18:17:55Z'}",1,Laceg21,False,This app is constantly freezing and I constantly have to restart my app only to have to redo my entire order. I called customer service today to address this issues and was told they have been receiving calls all day. I’m not sure why Taco Bell doesn’t work on these issues that have been occurring for months now. It is very frustrating & it has deterred me from order from Taco Bell for months now. Then to make it even better when you use the app to order it always seems the stores flip out if you have a “big order” and they make you feel bad about it and you have to pull around and wait. You can hear the employees yelling and complaining and it’s a very uncomfortable experience. Something needs to be done within the app constantly crashing and the way customers are being treated for just simply placing orders on the app. I shouldn’t have to feel bad for placing a larger order for everyone in my family an modifying some of the toppings and they still not make it properly and I have to drive back. I have worked in the restaurant industry for years and it is part of your job to make & process orders correctly and not huff and puff just because someone placed a large order. I am unfortunately no longer going to take my business to Taco Bell because I feel as if my business and time is not valued by this company or location.,2019-06-18 23:20:29,Taco Bell
22,Not Really The Apps Fault,"{'id': 25792239, 'body': 'Please let our Customer Care team know about this. You can reach them through Facebook, the Contact Us page on our website, or Twitter @TacoBellCare.\r\n', 'modified': '2021-10-20T12:13:39Z'}",1,lexifore,False,"i ordered online, pull up to the drivethru and they tell me that it hasn’t come through yet but not to worry that it would probably come through before we got up. I get up to the window and specify again that I am picking up for Lexi. They hand me food and thankfully i checked the bag, it wasn’t my food. I go inside and they have everyone ordering from the kiosks so that they can handle the drive thru, i think this is smart except that it took me raising my voice into the back of house for them to acknowledge me. I tell them that they handed me the wrong food and tell them my name once again, showing them my receipt. One of the nicer ladies took my phone into the BOH to show them what I ordered. There were a few other unhappy people in the lobby including one grubhub order that the drink made for the order was about half full and the driver was upset because that isn’t what he wants to deliver. another lady had used up 45 minutes of her hour long lunch dealing with this taco bell. They handed me the wrong food once more, before finally finishing my order 50 minutes later. Will not be returning, and sad to say i will not be using the app. I liked the app process because of the extra vegetarian options that are exclusively online, but it seems that the employees cannot handle the extra technology and queue.",2021-10-18 17:27:24,Taco Bell
23,Terrible! Took $ & refused to give food! 13 days later still waiting for refund,,1,collegegal83,False,"Wish I could give it 0 stars! I used to love this app when it first came out, especially when it had all the great offers. On July 8th though I used this app to place an almost $32 order and when my husband arrived to pick up the food on his way home from work, the cashier at the store told him there was no record of his order. I figured no problem, it was placed recently he'll just show the receipt in the app or the email receipt we received and they'll make the food, right? Wrong! They refused to give us any food and said we would need to pay again. The manager was not apologetic at all and said the charge would drop off in a few days automatically. Fast forward through 2 emails to customer service, 1 phone call to customer service, and finally filing a dispute with my credit card company. I finally received an email from customer service yesterday saying they are refunding the money, but to wait 3-4 days for it to process. The worst part in all of this communication we have received 0 apologies from Taco Bell and obviously 0 food. 13 days later and I am still waiting for them to fully process our money back. I have never been so disappointed in a company's response & definitely do not recommend using this app to place an order if you value your hard earned money.",2017-07-21 21:15:22,Taco Bell
24,"Great app, IF it’s working!",,5,TMCS121212,False,"This was a great app!  I was using it quite frequently, until it suddenly stopped working. There were a few glitches here & there (it wouldn’t find restaurants in the area, although I had ordered in the same place before, and wouldn’t let me sign in), but after a day or two, it started working again. I was hoping the glitches would get fixed, so it would be more reliable. However, it suddenly stopped working completely - won’t let me log in, won’t let me reset my password, I’m totally locked out. I can’t find anywhere online to get help either. If this issue can be fixed, I would say it’s a great app, but until then, it’s useless.

Update, 9/7/19
I want to love this app, but it just won’t work right. Previous problems were finally fixed, and now, for the last couple of months, the app will not let me check out to pay & finish the order. I deleted the app today & reloaded it to my iPhone XR, and it looks like it lets me pay, but then ultimately, it gives me an error, and the store doesn’t get the order. Very frustrating. 
I wish the app would get fixed!!!",2019-09-07 23:51:09,Taco Bell
25,App is much better but still has issues,"{'id': 9905433, 'body': ""We're sorry for all the issues this caused. Can you send us a message at tbmobileappteam@yum.com? We want to look into this. "", 'modified': '2019-07-29T19:13:38Z'}",5,MC_Ham,False,"I’ve had no issues with the app until the past couple of weeks. I pulled up, placed my order, and noticed that the app started acting glitchy. It froze and then took me back to the menu. Hmm.. so I looked at my email to see no confirmation, but when I looked at my bank account it took out the money so I walked inside and told them what happened. The manager came up and told me they didn’t get my order so I showed him my bank transaction. To prove I bought it and they made it for me. You could tell he was just as frustrated as I was. Yesterday I was at a different location, I pull up change and confirmed the new address and places the order. I walk in.. the employees didn’t get my order! I was like what?? So I look at it and it sent it to another Taco Bell 🤦‍♀️ and it’s like not even close to where I was. Neither stores can do anything there about it. Luckily there is a number for Taco Bell that they gave me and they were super nice, so I’m waiting on my money but man what an inconvenience. Still love Taco Bell though! Will probably skip the app for a little while lol",2019-07-27 13:03:03,Taco Bell
26,Communication Problems,"{'id': 8994738, 'body': ""We highly regret the inconvenience. Please shoot us a message at tbmobileappteam@yum.com with relevant details. We'll be more than happy to assist you. Thanks."", 'modified': '2019-06-03T23:11:16Z'}",1,theDeadknee,False,"Absolutely terrible experience with this... I’m assuming that the store to app interface is still glitchy and needs be worked with more. Everything was fine when working the app myself but when it came time to pick up my food that’s when the issues occurred. I drove through the drive thru and gave the employees my name and that I ordered from the TacoBell app they then acknowledged it and I proceeded to drive up to the window. While waiting in line I tracked my orders progress by using this app which had stated my order was being prepared and then was ready, thinking that my order would be waiting on me at the window. Much to my surprise it wasn’t I then gave the employee at the window my name and they seemed dumbfounded. They then ask a manager who tried to figure it out my order who stating that I had placed the order to pick up in the store(I don’t know why that would slow production down though just put it in a bag) when I had this app open which clearly stated drive thru. Then I continued to hold up the drive thru line longer than if I would have just ordered while I was there. This app obviously still has some issues and bugs to work out when it comes to communication in stores and what the employees are seeing on their side. My opinion just continue to order as you get there until this app gets fixed.",2019-06-02 01:10:52,Taco Bell
