,userName,title,rating,isEdited,review,date,Company_name
10,more toppings plz,Please more toppings,5,False,Every time we see an ad on TV from Dominos the toppings are amazingly an abundance on the pizza. And when I get my pizza I’ll get maybe a handful of Topping! It’s pretty sad that you see more cheese than Topping. I know black olives come in a can. They can’t be that expensive just to throw a half a handful on them be generous! You know we all don’t just like cheese we want toppings pepperoni bacon sausage black olives onions peppers and etc. I’ve gotten the pepperoni lovers. It looks just like a regular pepperoni pizza! So I feel like I’ve been wasting money just ordering the specialty pizzas. If they don’t put enough toppings on it to even matter. So I save money by not even bothering to place the orders for the specialties. If you guys please could work on this I’d greatly appreciate it. I’ve ordered pizzas throughout the years here and it’s only been a handful where they’ve been really good. I’m not a picky person but when your boyfriend says don’t go back there. Did their pizza is not worth the price. It’s not a good sign when you order five pizzas in the more.,2019-11-22 22:40:32,Dominos
11,Jacob0032,Greatest Service in a long time!,5,False,"We’ve lived in the Lent’s area of Portland Oregon for the better part of about 40 years now. We’ve ordered Dominos about once a month for the majority of the past about 10 years. Our home store is the one near Eastport Plaza. Until recently there’s always seemed to have been something wrong with our order; wrong order, wrong toppings, items missing (like bread bites or soda.) we’re ordering again tonight because the last couple of months we’ve had incredibly great experiences! Nothing has been wrong and everything has been even better great! (I should also mention this is not only for delivery, but occasional carry out as well) Not sure if there’s a new manager, or a different crew (I do notice there’s usually someone training on something, so I’m guessing there may be a bit of quick turnover as is the case with most fast food type stores) Anyway! Whosever running things for the better there please keep on doing what you’re doing because it’s definitely working! Thanks",2018-07-01 05:40:13,Dominos
12,The Stereophonic Oddity,Latest Version Never Credits Reward Points,1,False,"I order a A LOT of Domino’s, and part of the reason I’ve remained loyal has been the rewards. With one of these recent updates however it has stopped crediting me entirely. I noticed last week that my reward points were lower than expected, but now after my most recent order and reviewing the orders I received credit for there are multiple missing. Furthermore there is no way to recover the rewards number & earn credit for these previous orders unless I have the physical box the pizza came in still in the fridge or trash, because I order & pay through the app, and I’m not emailed a rewards number with my receipt because I’m supposed to be signed-up and receiving those credits automatically. Luckily I was able to recover credit for one order this way, but the others appear to be irredeemable and there’s nowhere to look for more info. I’m very upset and disappointed, because I’ve ordered Domino’s at least once a week for the last 5 years and  with my daughter and I order many many pizzas for the summer camp I manage every year. Having this happen multiple times over the last 4 weeks shows it’s systemic- whether a glitch or not-  and Dominos is going to lose my business going forward.",2020-02-01 00:40:40,Dominos
13,My favorite game!!,Palm Coast Florida Flagler plaza best in all of Florida!!,5,False,"I live in Seminole woods in Palm Coast, Florida. They are hands down THEE BEST IN THE STATE. And I never worked there, lol nor do I know anyone who does. But they are soooo clean. So efficient. Fast and prompt. Always courteous. I can’t say enough about them. I’m just glad they are in my delivery zone!!!! Hahahahah! P.S. tip ur drivers people. These guys u trust with ur food. So they trust u will help them make minimum wage with tips. I was surprised to find out tips are their primary income. They really don’t get an hourly wage. Again.....I’m a nurse. I’m not an owner of this restaurant and I honestly don’t know anyone who works there. I order frequently a few times a month but never caught names. It’s usually delivery. And always a different person at my house answering the door and a different delivery person. I just really feel credit should be given where it is deserved. They have never ceased to NOT impress me. And for me to leave a review is ....well let’s just say this was my first time.           👍👍👍👍👍.   👌👌👌👌👌.    💯💯💯💯💯  ⭐️ ⭐️ ⭐️ ⭐️ ⭐️",2019-10-17 03:18:08,Dominos
14,a barracks marine,Used to be good,4,False,"My last two deliveries was absolutely horrible. The app would say this person has left the store at this time but I wouldn’t get
My pizzas until an hour later when it’s in between warm and cold. Three months ago was the worst where it took them 3 hours to get my pizzas delivered in two separate deliveries...I don’t know why I couldn’t get them in one delivery when I only put in one order. On that note one of the pizzas was wrong. I complained only to feel like I was being shrugged off to an excuse of “ we’re really busy on saturdays”. If that is so then hire some more people to work Saturday’s and give me my pizza in a timely manner! On top of that not all pizzas are consistent with one another in taste and quality. The first time I had break sticks here, it was absolutely amazing! Then the last two times it was mediocre so I never get them anymore. Sometimes there’s just enough sauce which is amazing and then other times the sauce is overflowing the pizza as if I ordered extra extra sauce and then there are times where I have to question myself whether or not they forgot the sauce.",2017-10-31 03:19:32,Dominos
15,Hartdoc,The Pizza Is Suddenly Really Good,5,False,"I have not ordered Domino’s for years because the product was no better than grocery store frozen pizza. I needed a pepperoni pizza for kids, and I decided to order one of the new pan pizzas for me. When I picked up the pizzas and opened the first box, I was so surprised by the appearance of the product. It was smoking hot, the pepperoni was crisp and sizzling, and the hand tossed crust was blistered, crackly and perfectly, very slightly, charred. It was magnificent! 

I opened my pan pizza (sausage, jalapeños, diced tomatoes, and onions). It was equally fantastic. A bit of the cheese, just the right amount, was all the way to the edges of the crust creating that yummy, chewy, crispy edge that is so addictive. 

Dominoes, I salute you. You figured out pizza is supposed to be amazing, and that is what you are selling now.  I am back; I’m a Dominoes customer and even a fan now. If you have not tried Dominoes lately, roll the dice. You can afford six dollars. That’s all it takes (with the coupon) to get a pizza. No other pizza company is providing the value Dominoes does at the moment.",2018-12-21 15:49:44,Dominos
16,brightcupofsunshine,Double stars,5,False,"I was a customer years ago and the pizza quality and service was awful. Within the past two years of using this app, Domino’s has gained our family’s loyalty. We order weekly from them and sometimes when the weather is terrible. This app makes this working mom’s life so much easier. I can order from work, and not have to worry if they got the food or not. The app alerts you every step of the way in the ordering to the delivery. I can even order for a set delivery time to my office for our lunch meetings. If I am out of town and my family members need to order food they can just log on and pull up a previous order. 
The drivers are always on time and know how to navigate my family’s wild country driveway. They are awesome! The pizza, deserts, subs, and wings are always perfect. And don’t get me started on their prices... they exceed my expectations. If there is every anything missing or wrong, they make it double right. I would give them more than 5 stars if I could.",2020-01-27 20:45:32,Dominos
17,👏🏽👏🏽🔥,Online was down so I had to call in my order,5,False,So online ordering was down i went through putting everything in my cart and when it came time to check out it wouldn’t load my total  but I know my total was 25 at the mostest. So anyway I’m forced to call the store I tell the girl my order she says total is 47 dollars and some change okay how did my order jump up like twenty dollars. I keep repeating at least three times my order and getting a great deal. She tells me no what did I want I tell her my Oder again and tell her I don’t want to pay anymore than 25 for my meal because my coupons totaled that. So she tells me just a medium one topping pizza will be 25 dollars I was going to order it but I said okay let me hang up cause she is really trying to milk me out of more money. I hang up go back to the app and try again and I get everything I initially wanted for geuss what ...24 dollars. I feel soo played but I still ordered my meal cause I’m hungry but definitely wanted to share my night with dominoes,2020-01-04 04:57:28,Dominos
18,Rad drawer,"Good App, Some Complains",4,False,"This is easily one of the most well coded ordering apps I’ve seen on the App Store, everything is fluid and works well. It has an intuitive interface and is easy to use, my grandmother could probably use this without any trouble. However, there are a few things to be said about the tracker and gift card application. When I tried to checkout using my gift card, after verifying several times that the information I inputted was correct, the system would spit out an error that there was something wrong with my card. After doing 5-6 captchas I finally got it to work, and I was sent to complete my order. However after that, the pizza tracker was behaving rather erroneously, it would jump around and even move backwards from Delivery to Quality Check, this happened several times. Other then those two rather minor issues though, I had a very positive experience with this app! I’d recommend to anyone ordering from dominoes on mobile, very nice to use. Your app developers are doing their job well.",2020-02-08 03:24:10,Dominos
19,terrifagan,The app,1,False,"I don’t understand why you cant pay cash on a carry out?  And since when because my app froze and lost its mind I couldn’t use my free pizza when I called the store and I was told he couldn’t find my account and that I got no points ZERO for the order I placed over the phone because I did not have the available funds on my card at the particular time.  The guy on the phone was rude about it and didn’t even offer an a apology. I order from dominoes a lot when I’m at home but I can tell you I won’t order from this location again. Absolutely no customer service or even a offer for assistance, and no points for my order on top of it all.  I am so so so very disappointed in this. It has really darkened my view of dominoes as a company not just this particular store.  I value customer service and friendliness as much if not more then the quality of the food. 

I really hope that upper management has the opportunity to review this, as a former member of a NPC management team I know only too well how quickly business and customers can slip away when not being valued and appreciated.  I would hate to see it happen to your company. Very quickly.",2020-08-12 01:10:54,Dominos
20,Fifi & Lissa,Ordering experience,5,False,We are here on vacation and my grandkids wanted pizza. So I looked up the number to Dominos and I was moved 3 times to 2 different stores. I finally was upset after being moved around for 45 minutes. Spoke to a VERT RUDE worker who called herself a manager named Jessica. If she worked for me I would have to let her go as she didn’t care if I got pizza for my family. I then ask for her manager and was told very worker there was a manager except drivers. I was very upset because she told me she couldn’t and wouldn’t help me place my order. I needed to order online so they would know who’s store delivers to the hotel we are staying at. I own a business for 31 years and is a delivery company I would never speak or allow any of my workers to speak to my customers the way Jessica spoke to me. I will call her owner of that store tomorrow and have a few words with Manny as she told me that was her manager. I love the app so I never have to deal with a RUDE PERSON LIKE JESSICA AGAIN WHEN I AM ORDERING MY PIZZA.,2018-07-19 02:45:27,Dominos
21,JWCG72,Solid App,4,False,"Pretty good app, I’ve been eating domino’s for years in large part due to two reasons. 1. The pizza is actually pretty good for a mass chain. Lets face it, chain pizza is an abomination. Dominos has mostly avoided the bland taste and texture of the competitors since they reworked things back around 2010 IIRC about the date. A new CEO came to the helm as well I think.  2. This app. I started using it a number of years back and was quite pleasantly surprised at how good it worked for customization, coupons, tracking and payment. Most of the competition still doesnt have apps as good so kudos on that. Dominos must really be glad for this pre existing infrastructure when this pandemic hit. The app almost feels like it was made for just such a reality. I love that I can order a pie, have it contactless placed on my porch, grab it and reheat it for safety for a min or two and have a tasty meal like the pre zombie apocalypse days. My only app gripe is the ios version loses CC info if you double check your order but other than that I love it.",2021-02-04 03:37:00,Dominos
22,Dileish,I ❤️dominos!,5,False,I love dominos I grew up on it just like with Pizza Hut but man I order dominos las week on Wednesday one of the worst experience ever the food was warm not hot and I live only 5-3 mins away I order a Caesar salad with a cup of ranch right ok finished ordering but the app crashed right then! So I call the store to check someone picks up I’m explaining i was so rudely cut off mid sentence he asks me my address I tell him he tells me yeah we got the order in and we don’t have the salad I was pressured to talk I said so let me have more wings I could of order another pizza but no I get my order home pizza it’s just barely warm the wings barely had any bbq when I orded a cup of extra bbq with the first order nop barely 👎🏻 I never got the bbq I paid for I got blue cheese instead and the ranch that was for the salad that was supposed to be canceled with it and it’s so expensive I was extremely dissatisfied disappointed I didn’t called right away because I was hangry!!! 😤😭😩😡🤨,2020-04-26 20:40:12,Dominos
23,AppAid,Fab customer service! Check this out... WOW!,5,False,"We ordered 2 pies (always thin crust) and as usual they were delivered promptly. After the delivery person left we noticed that one of the pies wasn’t the right crust (wasn’t thin crust) We called and they read the order back saying that only one of them was ordered with thin crust. We checked the app that we ordered it on and sure enough, THEY were correct. In spite of it being our mistake (we forgot to add thin crust) they immediately put the manager on the phone and he told us “no problem, we will send another pizza out with thin crust at no charge!!” We told him that it was ok and not to go to any trouble... we will eat the pie because it was our mistake. He said “No, it’s no problem I see here in your history that you always get thin crust and are loyal customers, so keep the pizza that was sent and the thin crust is on the way”  
We were happily surprised and grateful! Way to go Domino’s! Thank you! That is customer service at its best!👍👍",2017-10-20 20:42:18,Dominos
24,TiffanieMarie,Love it,4,False,"I like this app and dominos of course there is a but.... But if you leave the app for any reason and comeback it will make you restart your order. Also it just depends on who your person is for your Oder to be contactless we order almost ever week for fun movie nights and it’s been interesting. You have to use your card then they make you sign the receipt. It makes since except we don’t have to sign recipts for any other delivery app (ubereats, DoorDash, etc). I think I had one who placed our pizza on a stand on the ground then rang the bell we opened the door they were on the way to the car. One placed it straight on the ground and stood back. The others handed it to us (not contactless at all) one even handed me a card for his lawn care business. Some came with mask some did not. Obviously I’m not to upset cause I keep ordering just being informative. But maybe there should be some training on contactless and a change in the signing of the recipients maybe an online version.",2020-06-14 00:33:20,Dominos
25,Mommy 5+,Made to order cut crazy,5,False,Made to order pizza but cut uneven. I received my last pizza with both big slices and baby sized slices. How can you share a pizza cut like that when most people in your family will grab the biggest slices? You know exactly how I feel because either you are the person who wants the biggest slices or you have at least once got stuck with the smallest slice in the box. If I were a secret pizza shopper points would have definitely been taken off for my last pizza. It’s not rocket science literally cut it in half one way and then half the other way and all that is left is cutting those 4 slices in half again. The only explanation for this is the employee manning the oven is in too much of a rush. A great pizza is a work of art so also please stop dumping the pineapple just in one spot on the pizza- you’re driving my OCD crazy. I know that some people think oh it’s just pizza but I am sure that the founder of Domino’s would disagree like I do.,2019-10-21 21:18:38,Dominos
26,Megacycle90381,"Easy to order, but has other problems",3,False,"The app is really easy to use when looking at menu items and getting what you want in the cart. Paying is a different story. It took me three times to add my credit card information before the app accepted it. Kept getting a message that I had no payment method chosen. And, there is no way to add a tip to the total. Message says to add a tip when the driver gets my signature. ??? This is supposed to be a contactless delivery, so this makes no sense! My other pet peeve is that the app always asks me to re-enter my password. I get that this is a security measure, but why does the app not allow for fingerprint or facial recognition instead of making me go find my password and type it in? The font is also TOO LARGE, and the app will only operate in landscape mode, so this means that scrolling through rewards history gets cut off at the bottom of the screen. I would really like to know if the programmers ever use their own app. If they did, these problems would have been fixed by now.",2020-09-09 22:57:58,Dominos
27,lizPond11,"Service, food, delivery all great",5,False,"I’ve been having more deliveries in the era of COVID-19 and it’s been cautious. No contact delivery which I very much appreciate. The food is delicious. The service is great. The Dominos Tracker is a neat thing to keep me updated with my order. 

I can only say an issue I have with this is with the delivery update. It’s not as accurate as I’d hope it would be for the Dominos Tracker and that’s a bit of a let down. The last two times, I was waiting for my pizza and got no notification but checked to see if I could see the driver coming because it said my pizza would be arriving in 10 minutes but it was already there.

I don’t know how long it was outside for. And then 10 minutes later, I got the notification that my pizza had been delivered - this was while I was already eating it. So I’m a bit more vigilant about my orders but the updates weren’t accurate which is bothersome.",2020-06-13 21:54:45,Dominos
28,Mplagge,"Kasson, MN - hard workers",5,False,"First - this app is really intuitive and easy to use in comparison to others I’ve used.  
Second, I was in the store the last time I ordered and waited for my meal.  It was incredibly busy.  The owner or manager was there working right along with his employees.  It was impressive to see him keep an eye on every moving piece and help those that were struggling.  I noticed that he moved a few people around to different stations, so I was assuming he really knows his employees and what they do well.  The drivers would come in for more orders and he was making sure everything was going well for them. The store had a handful waiting, and he’d keep having his workers check for our order.  He was also motivating them to keep moving.  He said to them “if you stop moving or slow down, we are going to get way behind.”  He was so nice but yet being great at keeping them on pace.  
He seems like a great manager for these high school students.",2019-06-06 01:36:02,Dominos
29,Fairchild 521,Awesome,5,False,"I go back and forth between Domino’s Pizza And the hut. To tell you the truth I don’t even know why I bother with the other guys. They are always forgetting my drinks or some other thing saying we were out but we will give you a credit for your next order. Those credits must be imaginary. Well you guys were out of the two liters but the girl brought me 3 of the 20 ounce bottles and I think that was AWESOME. She wins a gold star!  In fact because you guys were capable of making the substitution I have decided to delete those other guys app off my phone. I hate getting stuck eating pizza with plain water or having to go out and buy soda because that totally defeats the purpose of having food delivered. If I wanted to get out I would have ordered for pick up. I am very happy with the easy use if your app, the speedy service of your delivery and the 3 twenty ounce bottles of soda that were subbed for the 2 liter!",2020-06-03 23:12:52,Dominos
30,Insulted and Cured,Five to one stars - WRONG location,1,False,"If you change the location after loading the cart and then use the easy reorder button it will place the order to the original location not the one you just tried changing it to and not warn you so your pizza will be one place and you another. Then when you arrive to pickup they’ll tell you it’ll be ready in 10. You’ll wait 20 they’ll finally figure out your pizza is across town. You’ll reorder and pay a second time at the Carryout location and you’ll call the store across town to try to cancel your wrong order. You’ll then sit on hold for 15 minutes and the manager well then call you a liar, say “well you should be more careful next time ordering online” and then he’ll hang up on you. That’s all he’ll say that’s it and then he’ll freaking hang up on you. You’ll walk out totally astounded totally forgetting you ever wanted pizza in the first place. Five stars for Dominies new weight loss program. I’m actually cured of pizza cravings now for like several months. But Dominies, your service and app have major glitches. Oh and I’m selling all my Dominies stock at market open on Monday. It’s my way of hanging up on you. You can keep my $18.",2018-11-10 02:32:33,Dominos
31,Azrael Park,Great pizza and flawless app functionality,5,False,"I applaud Dominos for their various creative methods of gaining ground in the real estate of pizza delivery in   ways that are innovative and based on classic customer service. I'm glad their app delivers these features in a clear and accessible layout without hype or confusing technical issues.

They let you earn free points for pizza you buy from anyone (direct approach to market research rewards). 

They throw up 'pizza hotspots' for deliveries because now a days people aren't always stationary.

They insure carry out orders against just about anything.

The Domino's Tracker, which is a trademarked progress bar for your pizza order, gives you realtime info that helps to know that you're being taken care of. 

And I learned all the above while placing an order. 

The app is quick to use and does have lots of 'save this...' checkboxes for your orders, locations, etc. which are, at first a little visually overwhelming but is well explained and makes a ton a sense to save time. 

I don't keep many restaurant apps on my phone because they usually abuse the few bucks they save you to see you as a spam bucket, but the dominos app has been great. 

The only feature I feel is missing is a rough ETA on the final Tracker page - however I'm sure some people get too edgy about the exact time. The estimated time is shown at the final ordering screen.

Keep up the great dev work!",2019-05-02 02:09:29,Dominos
32,JacquelineKennedy,Domino’s Won,5,False,"I was a hardcore Pi*za H*t fan for a number of years as it was all that was offered in my hometown.  They were outrageously priced and didn’t deliver to my home, but it was pizza and it was what I thought was good.  When I moved to the ‘big city’ I finally learned what pizza-making and delivery is supposed to taste like.  Domino’s has an insane menu and I was a bit overwhelmed at first because as a child because then it was just simple pepperoni and cheese.  They have SO MANY options and pairings I’d love to know just how many combinations there are.  On top of being able to get so many different types of pie, there’s additional delicious food to choose from.  Then the best part— the Tracker.  It’s the coolest thing ever.  I love being able to check and see where my pizza is in the store and knowing who’s doing an amazing job at it.  The delivery is quick and painless and I love all the drivers.  Most importantly, I love you Domino’s, you’re so good to me.",2019-09-21 23:09:14,Dominos
33,the app trumps all else,"The app is better than THEIR People, BUT; the PIE WINS OVERALL",5,False,"NO PUN INTENDED BUT ITS TRUE, the pie is the overall final item that we as customers ultimately rate and feel the most emotion and feedback, whether satisfying good or bad, in this case being GREAT,  when digesting and giving a report card or review/rating.   I AM ON MY FOURTH FREEBEE PIZZA in the last 24 months, MEANING,  I’ve ordered over 24 different times in said period of time so let the facts speak for itself. I’m a picky New York native grubbing pizza freak and I can handle an attitude or a lack of knowledge with a pizza boy over a telephone call, so really, it’s our faults as customers to get an order wrong or have a receipt go missing or not ask for enough napkins or Parmesan on the side. It’s our fault for not using the telephone free,  person-free, emotionless and very direct to the point beyond any clarifying Lehman’s terminology. Be direct people. Order online.  Don’t forget to ask. Have a Pizza day!",2019-12-05 00:04:19,Dominos
34,A Gef,Issues with the app,4,False,"To the developers: First off, I do like using the app and I prefer it to ordering over the phone. That being said, there are a couple of things I’d like changed. I can’t delete an expired credit card that is saved in the app. It always tells me the process failed and to try again later. Second, the app used to show the amount saved at checkout. This was great because you could see the savings totaled up, right next to the bill. When Domino’s still had the  coupon for $5 on 1-topping medium pizzas and wings, I could save almost 50%. It seems that the current programming registers which items were discounted by marking the item price in red. Therefore, the total is the discounted price. I wasn’t sure if my coupon had actually worked, so I had to call the store to check. This is a waste of time for me and the store. Please go back to displaying the amount saved. Thank you.",2021-10-27 21:41:01,Dominos
35,RBY712,Lately,1,False,"I understand times are tough, more for some than others yeah. But lately the service from domino’s hasn’t been the best nor the same, it was our favorite! From humans to the web page and app it has been horrible experiences. I haven’t been able to place an order online, app nor redeem my rewards... for the second time in aprx. less 2 weeks. I call the store just like the website or app suggest I do and the person on the other side states there’s nothing they can do. Yet they’re the locations I buy my pizzas and wings from. Purchased the pizza and wings anyway without the redemption of points. Had to place it over the phone due to the “system not working”, give my card over the phone and then not be given my food, nice and hot out the oven but an hour later with attitude when we walked in to ask for it although we arrived at most 10minutes after the order was made and payed for. Had to microwave food that is supposed to be given hot with kindness. Rewards that are unredeemable also not a fan of. Often I spend more just to me your criteria for earning those points!",2021-04-11 20:56:52,Dominos
